time,R,G,B
0,215.405,0.0,11.12
33,215.172,0.0,10.955
66,215.268,0.0,11.054
100,215.534,0.0,11.199
133,215.526,0.0,11.119
166,215.377,0.0,11.007
200,215.391,0.0,11.022
233,215.361,0.0,11.003
266,214.995,0.0,10.792
299,214.71,0.0,10.727
333,214.898,0.0,10.939
366,216.045,0.0,11.6
399,216.664,0.0,11.679
433,215.695,0.0,10.894
466,213.911,0.0,9.988
499,212.592,0.0,9.678
533,211.628,0.0,9.532
566,211.153,0.0,9.625
599,211.413,0.0,10.037
633,211.804,0.0,10.322
666,211.941,0.0,10.36
699,212.127,0.0,10.426
733,212.018,0.0,10.293
766,211.359,0.0,9.949
799,210.697,0.0,9.727
833,210.072,0.0,9.582
866,209.383,0.0,9.449
899,209.11,0.0,9.516
932,209.284,0.0,9.759
966,209.224,0.0,9.736
999,209.281,0.0,9.794
1032,209.511,0.0,9.902
1066,209.363,0.0,9.775
1099,209.372,0.0,9.788
1132,209.598,0.0,9.901
1166,209.843,0.0,9.99
1199,210.41,0.0,10.2
1232,210.592,0.0,10.146
1266,210.4,0.0,9.934
1299,209.312,0.0,9.293
1332,208.356,0.0,8.993
1366,207.6,0.0,8.88
1399,207.078,0.0,8.89
1432,206.759,0.0,8.962
1466,206.907,0.0,9.213
1499,206.908,0.0,9.266
1532,206.816,0.0,9.231
1565,206.642,0.0,9.168
1599,206.604,0.0,9.188
1632,206.712,0.0,9.282
1665,206.864,0.0,9.349
1699,206.932,0.0,9.347
1732,206.998,0.0,9.374
1765,207.115,0.0,9.394
1799,207.292,0.0,9.453
1832,207.366,0.0,9.448
1865,207.635,0.0,9.549
1899,207.692,0.0,9.497
1932,207.742,0.0,9.469
1965,207.762,0.0,9.448
1999,207.797,0.0,9.429
2032,207.158,0.0,9.05
2065,206.255,0.0,8.685
2099,205.771,0.0,8.666
2132,205.679,0.0,8.818
2165,205.804,0.0,8.991
2198,205.838,0.0,9.027
2232,205.952,0.0,9.1
2265,205.998,0.0,9.103
2298,206.197,0.0,9.195
2332,206.201,0.0,9.147
2365,206.296,0.0,9.182
2398,206.265,0.0,9.129
2432,205.937,0.0,8.955
2465,205.886,0.0,8.995
2498,205.971,0.0,9.07
2532,206.081,0.0,9.115
2565,205.94,0.0,9.033
2598,206.473,0.0,9.311
2632,206.778,0.0,9.353
2665,206.836,0.0,9.297
2698,206.829,0.0,9.244
2732,207.045,0.0,9.322
2765,207.128,0.0,9.285
2798,206.513,0.0,8.922
2831,205.8,0.0,8.644
2865,205.464,0.0,8.669
2898,205.46,0.0,8.822
2931,205.443,0.0,8.899
2965,205.522,0.0,8.973
2998,205.567,0.0,8.985
3031,205.545,0.0,8.995
3065,205.513,0.0,8.959
3098,205.469,0.0,8.958
3131,205.529,0.0,8.997
3165,205.629,0.0,9.039
3198,205.624,0.0,9.012
3231,205.767,0.0,9.083
3265,205.802,0.0,9.059
3298,205.755,0.0,9.012
3331,205.997,0.0,9.147
3365,206.181,0.0,9.183
3398,206.254,0.0,9.173
3431,206.357,0.0,9.171
3465,206.587,0.0,9.248
3498,206.892,0.0,9.333
3531,207.016,0.0,9.318
3564,207.259,0.0,9.375
3598,207.253,0.0,9.277
3631,207.251,0.0,9.268
3664,206.978,0.0,9.073
3698,206.088,0.0,8.639
3731,205.454,0.0,8.498
3764,205.332,0.0,8.671
3798,205.52,0.0,8.879
3831,205.581,0.0,8.945
3864,205.427,0.0,8.86
3898,205.52,0.0,8.95
3931,205.757,0.0,9.067
3964,205.587,0.0,8.939
3998,205.553,0.0,8.94
4031,205.66,0.0,8.998
4064,205.918,0.0,9.113
4098,206.114,0.0,9.173
4131,206.312,0.0,9.217
4164,206.556,0.0,9.276
4197,206.678,0.0,9.263
4231,206.715,0.0,9.238
4264,206.816,0.0,9.251
4297,206.992,0.0,9.304
4331,207.122,0.0,9.333
4364,207.188,0.0,9.304
4397,207.147,0.0,9.238
4431,207.27,0.0,9.308
4464,207.745,0.0,9.497
4497,207.32,0.0,9.149
4531,206.305,0.0,8.658
4564,205.872,0.0,8.643
4597,205.944,0.0,8.876
4631,205.949,0.0,8.966
4664,206.137,0.0,9.114
