time,R,G,B
0,196.956,15.199,14.254
34,197.153,15.179,14.15
67,197.01,15.401,14.29
100,196.827,15.661,14.501
134,197.164,15.741,14.565
167,197.385,15.876,14.624
200,197.07,16.108,14.744
233,197.377,15.969,14.645
267,197.818,16.258,14.798
300,197.239,16.64,14.936
334,196.863,16.811,14.997
367,197.505,16.952,15.114
400,198.187,17.139,15.225
434,198.587,17.246,15.259
467,202.291,16.928,15.549
500,203.561,16.227,14.8
533,203.886,16.293,14.815
567,203.439,16.094,14.634
600,201.622,15.433,14.317
633,200.976,15.09,14.147
667,201.185,15.154,14.21
700,201.657,15.462,14.427
733,202.018,15.849,14.656
767,202.252,16.086,14.768
800,202.391,16.543,15.048
833,201.89,16.283,14.833
867,201.562,16.143,14.644
900,201.274,16.208,14.645
933,200.742,16.021,14.442
967,200.803,15.957,14.377
1000,201.288,16.23,14.575
1033,201.79,16.569,14.821
1067,202.105,16.789,14.937
1100,202.131,16.907,14.95
1133,202.438,17.141,15.066
1166,202.64,17.377,15.19
1200,202.366,17.381,15.065
1233,202.188,17.445,15.045
1266,202.056,17.369,14.915
1300,201.906,17.407,14.88
1333,201.593,17.32,14.755
1366,201.308,17.146,14.559
1400,200.471,16.622,14.059
1433,198.8,16.203,13.871
1466,197.896,16.088,13.906
1500,197.881,16.135,14.0
1533,198.5,16.566,14.341
1566,199.223,17.057,14.695
1600,199.765,17.22,14.77
1633,200.224,17.363,14.809
1666,200.318,17.369,14.721
1700,200.049,17.166,14.471
1733,199.488,16.763,14.075
1766,199.384,16.776,14.088
1799,199.657,17.229,14.491
1833,199.817,17.208,14.462
1866,200.028,17.261,14.491
1899,200.241,17.57,14.672
1933,200.469,17.787,14.795
1966,200.599,17.823,14.744
1999,200.638,17.759,14.632
2033,200.806,17.906,14.699
2066,200.643,17.9,14.614
2099,200.657,18.201,14.789
2133,200.133,18.325,14.73
2166,198.915,17.873,14.231
2199,196.651,17.305,14.062
2233,194.874,17.052,14.071
2266,194.946,17.027,14.167
2299,195.539,17.275,14.349
2333,196.381,17.414,14.451
2366,196.849,17.569,14.492
2399,197.345,17.867,14.632
2432,197.632,17.989,14.689
2466,197.253,17.711,14.431
2499,196.847,17.47,14.211
2532,196.61,17.361,14.106
2566,196.748,17.568,14.273
2599,196.785,17.59,14.275
2632,196.948,17.737,14.363
2666,197.242,17.889,14.467
2699,197.474,18.006,14.506
2732,197.736,18.168,14.591
2766,197.652,18.091,14.447
2799,197.802,18.186,14.485
2832,198.127,18.368,14.591
2866,198.172,18.494,14.629
2899,198.098,18.482,14.545
2932,197.98,18.465,14.469
2966,197.507,18.159,14.164
2999,195.569,17.355,13.69
3032,193.861,16.897,13.606
3065,193.577,16.935,13.705
3099,194.147,17.267,13.969
3132,194.816,17.494,14.143
3165,195.409,17.751,14.274
3199,195.764,17.899,14.347
3232,195.857,17.837,14.268
3265,195.779,17.811,14.19
3299,195.4,17.532,13.937
3332,195.091,17.303,13.758
3365,195.18,17.355,13.82
