time,R,G,B
0,248.156,0.0,0.488
15,247.89,0.0,0.477
56,247.852,0.0,0.488
83,247.877,0.0,0.47
124,247.892,0.0,0.469
158,247.814,0.0,0.474
184,247.923,0.0,0.477
221,248.025,0.0,0.501
266,248.076,0.0,0.495
289,248.003,0.0,0.487
323,247.981,0.0,0.479
355,247.633,0.0,0.461
384,246.924,0.0,0.421
422,246.456,0.0,0.411
462,246.341,0.0,0.405
485,246.444,0.0,0.409
537,246.539,0.0,0.42
554,246.828,0.0,0.437
585,246.965,0.0,0.458
617,247.03,0.0,0.451
655,246.98,0.0,0.451
692,246.676,0.0,0.428
716,246.515,0.0,0.408
754,246.507,0.0,0.421
789,246.649,0.0,0.428
821,246.842,0.0,0.438
855,247.086,0.0,0.46
882,247.307,0.0,0.444
927,247.38,0.0,0.458
955,247.38,0.0,0.456
988,247.461,0.0,0.453
1021,247.614,0.0,0.438
1055,247.228,0.0,0.419
1082,246.404,0.0,0.393
1118,246.211,0.0,0.397
1154,246.503,0.0,0.411
1181,246.709,0.0,0.414
1217,246.969,0.0,0.447
1257,247.21,0.0,0.458
1288,247.298,0.0,0.459
1321,247.135,0.0,0.458
1354,246.978,0.0,0.437
1385,246.741,0.0,0.425
1418,246.391,0.0,0.405
1483,246.278,0.0,0.401
1497,246.395,0.0,0.419
1514,246.316,0.0,0.422
1553,246.171,0.0,0.406
1590,246.138,0.0,0.405
1639,246.002,0.0,0.384
1657,246.141,0.0,0.393
1677,246.198,0.0,0.405
1716,245.944,0.0,0.37
1758,245.408,0.0,0.339
1779,244.7,0.0,0.315
1818,244.417,0.0,0.316
1863,244.429,0.0,0.31
1881,244.478,0.0,0.318
1921,244.606,0.0,0.326
1960,244.947,0.0,0.344
1994,244.987,0.0,0.347
2030,244.69,0.0,0.321
2061,244.604,0.0,0.328
2102,244.466,0.0,0.324
2133,244.51,0.0,0.326
2168,244.805,0.0,0.335
2195,245.054,0.0,0.348
2230,245.251,0.0,0.369
2265,245.506,0.0,0.381
2293,246.005,0.0,0.398
2317,246.186,0.0,0.401
2357,246.376,0.0,0.406
2388,246.48,0.0,0.405
2426,245.628,0.0,0.352
2458,244.922,0.0,0.331
2479,244.884,0.0,0.336
2517,244.98,0.0,0.338
2555,245.19,0.0,0.33
2596,245.361,0.0,0.342
2619,245.691,0.0,0.373
2659,245.85,0.0,0.38
2689,245.939,0.0,0.375
2722,246.02,0.0,0.376
2754,245.894,0.0,0.38
2785,245.949,0.0,0.376
2817,245.955,0.0,0.378
2856,246.022,0.0,0.379
2888,246.159,0.0,0.391
2918,246.347,0.0,0.402
2964,246.476,0.0,0.402
2989,246.588,0.0,0.416
3031,246.807,0.0,0.421
3060,246.955,0.0,0.421
3082,246.879,0.0,0.416
3119,246.22,0.0,0.366
3158,245.56,0.0,0.349
3194,245.337,0.0,0.343
3212,245.302,0.0,0.337
3255,245.389,0.0,0.347
3287,245.545,0.0,0.357
3324,245.67,0.0,0.356
3353,245.736,0.0,0.354
3375,245.75,0.0,0.358
3418,245.7,0.0,0.359
3459,245.663,0.0,0.358
3474,245.807,0.0,0.364
3523,245.827,0.0,0.36
3557,245.979,0.0,0.377
3581,246.074,0.0,0.376
3621,245.931,0.0,0.37
3656,246.041,0.0,0.386
3690,246.227,0.0,0.376
3709,246.357,0.0,0.379
3754,246.394,0.0,0.392
3788,246.284,0.0,0.362
3823,245.718,0.0,0.346
3847,245.235,0.0,0.335
3872,245.068,0.0,0.335
3915,245.18,0.0,0.341
3938,245.29,0.0,0.346
3977,245.462,0.0,0.363
4009,245.489,0.0,0.357
4052,245.61,0.0,0.352
4115,245.588,0.0,0.356
4126,245.622,0.0,0.356
4150,245.773,0.0,0.35
4212,245.795,0.0,0.346
4251,245.845,0.0,0.356
4266,245.927,0.0,0.361
4301,245.976,0.0,0.377
4327,246.032,0.0,0.377
4353,246.084,0.0,0.371
4388,246.143,0.0,0.364
4422,246.222,0.0,0.375
4446,246.226,0.0,0.366
4486,245.839,0.0,0.354
4520,245.176,0.0,0.328
4552,244.7,0.0,0.304
4574,244.623,0.0,0.302
4627,244.783,0.0,0.321
4643,244.696,0.0,0.31
4688,244.836,0.0,0.327
4720,244.941,0.0,0.327
4741,245.194,0.0,0.329
4778,245.185,0.0,0.332
4824,244.865,0.0,0.317
4848,244.918,0.0,0.323
4887,245.182,0.0,0.325
4916,245.356,0.0,0.341
4956,245.48,0.0,0.337
5022,245.562,0.0,0.336
5037,245.503,0.0,0.337
5054,245.612,0.0,0.342
5078,245.822,0.0,0.362
5118,245.797,0.0,0.346
5139,245.207,0.0,0.32
5208,244.556,0.0,0.301
5259,244.375,0.0,0.295
5282,244.535,0.0,0.312
5310,244.656,0.0,0.315
5356,244.591,0.0,0.311
5381,244.752,0.0,0.316
5411,245.066,0.0,0.325
5439,245.137,0.0,0.329
5476,245.208,0.0,0.332
5522,245.212,0.0,0.335
5539,245.181,0.0,0.333
5592,245.245,0.0,0.337
5615,245.417,0.0,0.342
5652,245.515,0.0,0.351
5673,245.548,0.0,0.349
5722,245.628,0.0,0.348
5739,245.486,0.0,0.341
5790,245.599,0.0,0.345
5818,245.451,0.0,0.331
5852,244.648,0.0,0.304
5883,243.92,0.0,0.269
5909,243.749,0.0,0.252
5950,244.077,0.0,0.273
5985,244.087,0.0,0.296
6020,244.143,0.0,0.308
6043,244.303,0.0,0.307
6095,244.395,0.0,0.295
6111,244.428,0.0,0.301
6149,243.581,0.0,0.243
6182,243.625,0.0,0.243
6203,244.267,0.0,0.296
6239,244.409,0.0,0.296
6273,244.538,0.0,0.302
6321,244.677,0.0,0.298
6352,245.143,0.0,0.335
6372,245.275,0.0,0.335
6410,245.387,0.0,0.336
6452,245.477,0.0,0.351
6485,245.244,0.0,0.331
6525,245.301,0.0,0.324
6546,245.163,0.0,0.316
6576,244.457,0.0,0.284
6623,243.954,0.0,0.283
6641,243.67,0.0,0.271
6684,243.704,0.0,0.273
6707,243.662,0.0,0.272
6754,243.684,0.0,0.269
6772,243.804,0.0,0.271
6806,243.959,0.0,0.286
6861,243.992,0.0,0.284
6887,243.969,0.0,0.287
6920,243.96,0.0,0.277
6938,243.862,0.0,0.284
6972,243.927,0.0,0.297
7008,243.898,0.0,0.293
7052,244.005,0.0,0.298
7069,244.218,0.0,0.289
7119,244.49,0.0,0.307
7135,244.608,0.0,0.303
7187,244.738,0.0,0.305
7220,244.737,0.0,0.305
7254,244.844,0.0,0.316
7289,245.092,0.0,0.324
7306,245.247,0.0,0.325
7340,245.018,0.0,0.325
7394,244.349,0.0,0.292
7409,243.788,0.0,0.273
7452,243.538,0.0,0.264
7470,243.651,0.0,0.274
7504,243.689,0.0,0.265
7535,243.738,0.0,0.269
7576,243.854,0.0,0.276
7604,243.837,0.0,0.281
7635,243.907,0.0,0.289
7691,244.03,0.0,0.285
7717,244.059,0.0,0.285
7739,244.102,0.0,0.289
7795,244.215,0.0,0.289
