time,R,G,B
0,241.579,53.961,22.212
35,241.481,53.909,22.214
78,241.078,51.79,22.066
120,240.858,49.494,22.076
153,240.812,48.376,22.147
183,240.831,48.023,22.167
240,240.819,47.749,22.051
271,240.824,47.74,22.01
299,241.018,48.064,22.103
335,241.014,48.258,22.098
368,240.975,48.388,22.061
408,241.026,48.604,22.034
450,241.056,49.029,22.002
487,241.148,49.627,22.058
517,241.229,50.16,22.042
554,241.376,50.855,22.107
602,241.442,51.496,22.185
632,241.533,52.071,22.201
668,241.595,52.564,22.137
704,241.706,53.128,22.191
740,241.767,53.786,22.146
785,241.85,54.431,22.171
818,241.957,55.084,22.209
856,241.911,55.19,22.167
889,241.599,53.32,22.179
927,241.341,51.108,22.122
967,241.29,49.928,22.14
1001,241.258,49.679,22.041
1034,241.331,49.566,21.996
1194,241.441,49.862,22.01
1198,241.533,50.25,22.185
1238,241.555,50.396,22.162
1311,241.552,50.684,22.078
1383,241.61,51.167,22.131
1386,241.77,52.267,22.222
1412,241.909,52.902,22.251
1454,241.924,53.353,22.195
1490,242.065,53.905,22.313
1525,242.081,54.396,22.248
1561,242.21,55.02,22.31
1603,242.262,55.593,22.298
1643,242.348,56.272,22.315
1676,242.265,56.364,22.307
1709,242.031,54.802,22.251
1743,241.782,52.703,22.149
1792,241.721,51.61,22.277
1836,241.664,51.313,22.281
1875,241.712,51.135,22.317
1892,241.754,51.265,22.334
1945,241.809,51.557,22.211
1973,241.816,51.723,22.18
2008,241.833,51.754,22.118
2041,241.845,51.9,22.096
2090,241.906,52.285,22.116
2125,241.991,52.763,22.117
2154,242.049,53.211,22.038
2193,242.144,53.787,22.009
2226,242.224,54.387,22.137
2273,242.29,54.904,22.078
2347,242.372,55.909,22.109
2385,242.444,56.463,22.163
2415,242.478,56.98,22.145
2461,242.545,57.579,22.242
2495,242.621,58.104,22.277
2529,242.639,58.632,22.187
2584,242.404,57.895,22.115
2604,242.174,55.508,22.206
2650,241.999,53.403,22.321
2682,241.886,52.466,22.227
2712,241.835,51.999,22.278
2746,241.859,51.565,22.192
2792,241.847,51.446,22.17
2821,241.888,51.499,22.17
2867,241.926,51.634,22.107
2921,241.963,51.733,22.127
2964,242.015,51.888,22.148
2997,242.034,52.193,22.147
3040,242.101,52.612,22.219
3064,242.181,53.061,22.172
3183,242.228,53.535,22.108
3204,242.257,54.048,22.192
3241,242.326,54.552,22.156
3326,242.424,55.062,22.146
3368,242.48,55.563,22.123
3394,242.551,57.082,22.121
3407,242.551,57.082,22.121
3425,242.644,58.128,22.101
3466,242.749,58.823,22.079
3514,242.774,59.234,22.086
3549,242.485,58.276,22.091
3584,242.172,55.721,22.001
3621,242.005,53.397,22.056
3697,241.85,51.819,22.191
3727,241.853,51.318,22.132
3763,241.814,51.148,22.155
3817,241.852,51.154,22.066
3846,241.835,51.212,22.059
3891,241.829,51.222,22.074
3943,241.851,51.247,22.119
