time,R,G,B
0,255.0,75.704,2.361
33,255.0,78.438,2.984
67,255.0,107.596,9.16
100,255.0,142.631,24.117
133,255.0,137.065,37.412
167,255.0,87.679,7.196
200,255.0,64.662,3.809
233,255.0,64.116,3.733
267,255.0,62.875,3.469
300,255.0,63.42,3.661
333,255.0,70.219,5.355
366,255.0,82.224,9.246
400,255.0,101.34,13.212
433,255.0,126.501,15.704
466,255.0,130.116,14.189
500,255.0,127.367,13.062
533,255.0,124.522,12.484
566,255.0,125.246,12.81
600,255.0,131.249,13.217
633,255.0,135.463,13.023
665,255.0,137.503,12.835
700,255.0,140.097,12.753
733,255.0,145.523,12.929
766,255.0,149.017,12.56
800,255.0,146.841,12.029
833,255.0,141.972,11.548
866,255.0,140.28,11.474
899,255.0,141.45,11.435
933,255.0,141.769,11.294
966,255.0,143.84,11.512
999,255.0,146.426,11.452
1033,255.0,148.145,11.258
1066,255.0,150.42,11.148
1099,255.0,152.597,11.006
1133,255.0,152.241,10.73
1165,255.0,151.672,10.445
1199,255.0,153.381,10.379
1232,255.0,154.964,10.306
1266,255.0,154.529,9.989
1299,255.0,154.849,9.674
1332,255.0,156.783,9.542
1366,255.0,159.55,9.466
1399,255.0,158.005,9.007
1432,255.0,152.311,8.443
1466,255.0,146.27,8.236
1499,255.0,142.569,8.244
1532,255.0,141.571,8.269
1566,255.0,142.348,8.33
1599,255.0,143.413,8.307
1632,255.0,145.72,8.296
1665,255.0,147.427,8.25
1699,255.0,147.951,8.083
1732,255.0,148.317,7.976
1765,255.0,148.806,7.903
1799,255.0,149.586,7.809
1832,255.0,150.816,7.794
1865,255.0,151.42,7.654
1899,255.0,152.79,7.582
1932,255.0,154.167,7.534
1965,255.0,154.776,7.389
1999,255.0,156.434,7.344
2032,255.0,156.59,7.15
2065,255.0,151.527,6.838
2098,255.0,142.215,6.619
2132,255.0,137.02,6.826
2165,255.0,136.362,7.139
2198,255.0,136.096,7.281
2232,255.0,136.067,7.318
2265,255.0,138.721,7.576
2298,255.0,141.745,7.563
2332,255.0,141.734,7.442
2365,255.0,142.122,7.439
2398,255.0,142.26,7.427
2432,255.0,141.117,7.311
2465,255.0,139.781,7.175
2498,255.0,140.503,7.301
2531,255.0,144.814,7.282
2565,255.0,145.772,7.104
2598,255.0,147.417,7.048
2631,255.0,149.741,6.902
2665,255.0,151.812,6.686
2698,255.0,148.962,6.253
2731,255.0,141.688,6.013
2765,255.0,134.247,6.039
2798,255.0,131.462,6.118
2831,255.0,132.008,6.296
2865,255.0,131.585,6.238
2898,255.0,132.927,6.28
2931,255.0,135.419,6.363
2964,255.0,137.058,6.256
2998,255.0,138.084,6.277
3031,255.0,138.912,6.151
3064,255.0,140.826,6.108
3098,255.0,143.176,6.024
3131,255.0,145.88,5.9
3164,255.0,147.085,5.673
3198,255.0,147.837,5.499
3231,255.0,153.382,5.516
3264,255.0,156.569,5.328
3297,255.0,158.224,5.144
3331,255.0,159.147,4.803
3364,255.0,154.352,4.598
3397,255.0,146.179,4.407
3431,255.0,139.003,4.681
3464,255.0,135.06,4.824
3497,255.0,134.336,4.983
3531,255.0,136.592,5.142
3564,255.0,138.617,5.197
3597,255.0,139.675,5.097
3631,255.0,136.683,4.813
3664,255.0,145.763,5.011
3697,255.0,149.061,4.808
3730,255.0,146.695,4.485
3764,255.0,145.203,4.164
3797,255.0,149.085,4.042
3830,255.0,156.238,4.046
3864,255.0,156.635,3.842
3897,255.0,155.764,3.721
3930,255.0,154.573,3.575
3964,255.0,154.359,3.575
3997,255.0,154.808,3.31
4030,255.0,151.163,3.1
4064,255.0,140.662,3.01
4097,255.0,129.739,3.461
4130,255.0,121.358,3.86
4163,255.0,118.918,3.971
4197,255.0,119.032,4.025
4230,255.0,116.935,4.185
4263,255.0,113.222,4.167
4297,255.0,108.914,3.954
4330,255.0,107.248,3.888
4363,255.0,110.272,4.052
4397,255.0,109.696,4.043
4430,255.0,108.778,4.087
4463,255.0,107.744,4.036
4496,255.0,105.007,4.026
4530,255.0,103.7,4.103
4563,255.0,107.175,4.167
4596,255.0,107.928,4.16
4630,255.0,107.505,4.181
4663,255.0,107.378,4.115
4696,255.0,106.917,4.034
4730,255.0,102.164,3.668
4763,255.0,94.213,3.285
4796,255.0,87.476,3.113
4830,255.0,83.453,3.048
4863,255.0,82.711,3.109
4896,255.0,85.048,3.299
4929,255.0,88.672,3.523
4963,255.0,89.936,3.549
4996,255.0,90.838,3.554
5029,255.0,91.758,3.549
5063,255.0,91.087,3.548
5096,255.0,89.834,3.55
5129,255.0,89.482,3.558
5163,255.0,89.382,3.553
5196,255.0,89.279,3.512
5229,255.0,88.378,3.525
5263,255.0,88.012,3.467
5296,255.0,88.482,3.448
5328,255.0,88.245,3.422
5362,255.0,88.936,3.401
5396,255.0,88.498,3.241
5429,255.0,82.366,2.827
5462,255.0,73.951,2.506
5496,255.0,68.666,2.399
5529,255.0,67.347,2.338
5562,255.0,70.46,2.589
5596,255.0,73.758,2.78
5629,255.0,74.811,2.814
5662,255.0,75.895,2.835
5696,255.0,75.327,2.806
5729,255.0,74.831,2.767
5762,255.0,75.44,2.787
5795,255.0,76.311,2.84
5828,255.0,76.813,2.912
5862,255.0,78.029,2.967
5895,255.0,78.406,3.047
5929,255.0,77.504,3.043
5962,255.0,77.115,3.052
5995,255.0,78.585,3.076
6029,255.0,79.316,3.044
6062,254.999,75.304,2.729
6095,254.999,67.399,2.365
6129,254.999,61.569,2.187
6162,254.998,59.723,2.173
6195,254.999,60.53,2.294
6228,254.998,61.565,2.405
6262,254.999,62.523,2.466
6295,254.999,63.995,2.482
6328,254.999,64.821,2.485
6362,254.999,64.401,2.445
6395,255.0,65.331,2.435
6428,255.0,68.2,2.57
6462,255.0,70.318,2.679
6495,255.0,72.215,2.746
6528,255.0,74.352,2.8
6562,255.0,77.14,2.915
6595,255.0,79.002,2.967
6627,255.0,80.697,2.967
6661,255.0,82.967,3.021
6695,255.0,85.008,3.082
6728,255.0,86.198,3.078
6761,255.0,82.744,2.724
6795,255.0,74.428,2.324
6828,255.0,67.319,2.146
6861,255.0,64.827,2.132
6895,255.0,66.061,2.248
6928,255.0,67.365,2.292
6961,255.0,68.961,2.386
6994,255.0,71.07,2.495
7028,255.0,71.86,2.488
7061,255.0,71.832,2.435
7094,255.0,72.194,2.447
7127,255.0,72.226,2.466
7161,255.0,72.652,2.458
7194,255.0,74.213,2.528
7228,255.0,76.063,2.614
7261,255.0,77.805,2.667
7294,255.0,79.675,2.705
7328,255.0,81.919,2.793
7361,255.0,82.838,2.807
7394,255.0,83.288,2.782
7427,255.0,84.376,2.784
7461,255.0,81.865,2.552
7494,255.0,72.784,2.163
7527,255.0,64.202,1.913
7561,255.0,60.512,1.835
7594,255.0,61.254,1.944
7627,255.0,64.269,2.092
7661,255.0,67.36,2.227
7694,255.0,70.169,2.291
7727,255.0,72.349,2.374
7761,255.0,72.352,2.337
7794,255.0,71.819,2.314
7827,255.0,72.49,2.331
7860,255.0,73.599,2.407
7894,255.0,75.67,2.539
7927,255.0,76.77,2.617
7960,255.0,77.906,2.631
7994,255.0,78.752,2.657
8027,255.0,80.544,2.67
8060,255.0,81.743,2.804
8094,255.0,82.462,2.919
8127,255.0,83.42,3.061
8160,255.0,84.946,3.242
