time,R,G,B
0,193.006,0.0,0.0
34,193.107,0.0,0.0
67,193.313,0.0,0.0
99,193.501,0.0,0.0
133,193.49,0.0,0.0
167,192.816,0.0,0.0
200,191.761,0.0,0.0
233,190.912,0.0,0.0
267,190.497,0.0,0.0
300,190.415,0.0,0.0
333,190.402,0.0,0.0
367,190.488,0.0,0.0
400,190.693,0.0,0.0
433,190.77,0.0,0.0
467,190.803,0.0,0.0
500,190.731,0.0,0.0
533,190.758,0.0,0.0
566,190.806,0.0,0.0
599,190.933,0.0,0.0
633,191.15,0.0,0.0
666,191.332,0.0,0.0
700,191.495,0.0,0.0
733,191.721,0.0,0.0
766,191.893,0.0,0.0
833,192.099,0.0,0.0
866,192.244,0.0,0.0
899,192.379,0.0,0.0
933,192.481,0.0,0.0
966,192.681,0.0,0.0
999,192.601,0.0,0.0
1033,191.957,0.0,0.0
1099,190.24,0.0,0.0
1133,189.931,0.0,0.0
1166,189.902,0.0,0.0
1233,190.031,0.0,0.0
1266,190.173,0.0,0.0
1299,190.278,0.0,0.0
1332,190.205,0.0,0.0
1366,190.172,0.0,0.0
1399,190.158,0.0,0.0
1466,190.392,0.0,0.0
1499,190.53,0.0,0.0
1532,190.757,0.0,0.0
1566,190.935,0.0,0.0
1599,191.088,0.0,0.0
1632,191.279,0.0,0.0
1665,191.415,0.0,0.0
1699,191.591,0.0,0.0
1732,191.699,0.0,0.0
1765,191.844,0.0,0.0
1799,192.043,0.0,0.0
1832,192.264,0.0,0.0
1865,192.39,0.0,0.0
1899,191.98,0.0,0.0
1932,191.075,0.0,0.0
1965,190.198,0.0,0.0
1999,189.68,0.0,0.0
2032,189.523,0.0,0.0
2099,189.567,0.0,0.0
2132,189.634,0.0,0.0
2165,189.748,0.0,0.0
2198,189.774,0.0,0.0
2232,189.71,0.0,0.0
2265,189.668,0.0,0.0
2298,189.663,0.0,0.0
2332,189.717,0.0,0.0
2365,189.899,0.0,0.0
2398,190.044,0.0,0.0
2432,190.195,0.0,0.0
2465,190.434,0.0,0.0
2498,190.638,0.0,0.0
2531,190.761,0.0,0.0
2598,190.578,0.0,0.0
2631,190.611,0.0,0.0
2665,190.753,0.0,0.0
2698,190.913,0.0,0.0
2731,191.064,0.0,0.0
2765,191.173,0.0,0.0
2798,190.798,0.0,0.0
2831,189.906,0.0,0.0
2865,189.015,0.0,0.0
2931,188.327,0.0,0.0
2964,188.388,0.0,0.0
2998,188.469,0.0,0.0
3031,188.698,0.0,0.0
3063,188.842,0.0,0.0
3131,188.813,0.0,0.0
3164,188.777,0.0,0.0
3198,188.848,0.0,0.0
3231,189.017,0.0,0.0
3264,189.242,0.0,0.0
3298,189.458,0.0,0.0
3364,189.955,0.0,0.0
3397,190.119,0.0,0.0
3431,190.303,0.0,0.0
3464,190.395,0.0,0.0
3497,190.552,0.0,0.0
3531,190.702,0.0,0.0
3563,190.89,0.0,0.0
3597,191.089,0.0,0.0
3631,191.086,0.0,0.0
3664,190.4,0.0,0.0
3697,189.395,0.0,0.0
3731,188.718,0.0,0.0
3764,188.407,0.0,0.0
3796,188.402,0.0,0.0
3830,188.467,0.0,0.0
3864,188.646,0.0,0.0
3897,188.885,0.0,0.0
3930,189.007,0.0,0.0
3964,189.016,0.0,0.0
4030,189.057,0.0,0.0
4063,189.146,0.0,0.0
4097,189.234,0.0,0.0
4130,189.395,0.0,0.0
4163,189.58,0.0,0.0
