time,R,G,B
0,220.824,25.03,68.832
34,220.839,24.964,68.839
70,220.911,25.083,69.083
99,221.059,25.245,69.207
124,221.451,25.521,69.323
146,221.554,25.643,69.436
192,221.72,25.883,69.513
225,222.232,26.384,69.908
253,222.489,26.712,70.152
303,222.437,26.851,70.121
333,222.363,26.964,69.903
368,222.47,27.099,69.998
390,222.428,27.134,70.127
427,222.419,27.24,70.061
498,222.741,27.599,70.104
528,222.598,27.592,70.111
565,222.144,27.014,69.871
591,221.675,26.253,69.592
627,221.497,25.826,69.42
656,221.512,25.722,69.379
684,221.477,25.712,69.343
734,221.891,26.005,69.55
759,221.966,26.144,69.569
786,221.926,26.279,69.575
827,221.97,26.374,69.598
854,221.762,26.283,69.478
882,221.654,26.189,69.406
944,221.574,26.07,69.382
949,221.768,26.25,69.539
1018,222.054,26.538,69.609
1035,222.013,26.604,69.597
1093,221.988,26.626,69.617
1098,222.013,26.688,69.573
1124,221.964,26.718,69.589
1147,221.865,26.669,69.498
1171,221.923,26.739,69.404
1229,222.086,26.893,69.521
1261,222.265,27.21,69.638
1319,222.112,27.216,69.495
1350,221.771,26.959,69.281
1376,221.104,26.219,68.81
1440,220.119,24.548,68.253
1479,219.848,24.15,68.126
1503,219.753,24.032,67.952
1526,220.065,24.386,67.845
1550,219.928,24.342,67.799
1575,219.746,24.172,67.705
1630,219.782,24.147,67.692
1658,219.958,24.371,67.732
1687,219.984,24.424,67.766
1742,220.026,24.408,67.949
1743,220.196,24.581,68.011
1779,220.122,24.736,67.906
1805,220.116,24.799,67.836
1857,220.298,24.871,67.889
1887,220.461,25.013,67.999
1917,220.783,25.456,68.236
1942,221.125,25.888,68.467
1979,221.411,26.257,68.712
2008,221.792,26.701,69.079
2048,222.053,27.058,69.428
2124,222.476,27.506,69.748
2136,223.296,28.314,70.167
2180,223.939,28.999,70.792
2223,223.886,29.146,70.947
2266,223.647,28.974,70.453
2314,223.195,28.349,70.234
2355,223.363,28.543,70.343
2405,223.435,28.579,70.405
2440,223.553,28.71,70.554
2465,223.541,28.803,70.512
2473,223.569,28.823,70.537
2523,223.416,28.642,70.468
2562,223.35,28.561,70.464
2611,223.299,28.531,70.299
2648,223.32,28.53,70.256
2649,223.493,28.734,70.389
2695,223.869,29.196,70.652
2734,224.297,29.904,70.813
2738,224.567,30.461,71.019
2818,224.606,30.706,71.137
2826,224.725,31.036,71.127
2864,224.89,31.286,71.201
2898,224.934,31.396,71.276
2910,225.027,31.538,71.288
2963,224.432,30.891,70.819
3002,223.122,29.186,70.022
3025,222.302,27.762,69.428
3067,221.68,26.788,69.188
3142,220.934,25.637,68.678
3171,220.705,25.279,68.556
3184,220.667,25.215,68.197
3231,220.263,24.873,67.92
3272,219.544,24.199,67.389
3305,218.695,23.431,66.762
3315,217.776,22.599,66.128
3355,217.394,22.141,65.843
3397,216.615,21.384,65.673
3440,216.797,21.315,65.791
3442,217.268,21.666,65.984
3488,217.511,21.911,66.199
3517,217.839,22.231,66.356
3542,218.082,22.481,66.479
3589,218.55,22.818,66.607
3616,218.753,23.065,66.787
3646,219.06,23.502,66.938
3682,219.322,23.807,67.076
3704,219.713,24.119,67.332
3756,219.828,24.391,67.392
3785,219.566,24.14,67.391
3807,219.072,23.542,67.043
3861,218.952,23.205,66.721
3867,218.743,22.891,66.6
3927,218.003,22.232,66.532
3934,218.249,22.374,66.675
3995,218.686,22.824,66.873
4004,218.753,22.986,66.922
4067,218.867,23.147,66.997
4070,218.946,23.248,66.976
4132,218.886,23.162,66.862
4136,218.914,23.185,66.851
4196,218.948,23.284,66.854
4200,218.939,23.28,66.845
4266,218.8,23.181,66.883
4270,218.944,23.333,66.975
4326,219.396,23.727,67.124
4356,219.483,23.873,67.244
4391,219.487,23.915,67.247
4421,219.46,23.937,67.222
4454,219.36,23.869,67.043
4482,219.578,24.025,67.216
4525,219.912,24.392,67.391
4557,219.944,24.497,67.458
4592,219.583,24.273,67.184
4627,218.894,23.52,66.72
4657,218.097,22.538,66.29
4689,217.836,22.075,66.077
4728,217.588,21.874,66.004
