time,R,G,B
0,225.469,35.563,30.019
33,222.82,33.194,29.034
67,222.456,30.936,28.035
100,223.21,28.391,27.01
133,221.569,26.701,26.439
167,219.061,25.933,26.34
200,216.888,25.667,26.461
233,215.285,25.257,26.478
267,208.931,25.968,27.151
300,197.686,26.947,27.797
333,193.732,26.578,27.766
367,191.527,25.475,27.261
400,190.039,24.285,26.402
433,191.005,23.71,26.024
467,196.106,23.354,25.93
500,198.947,23.299,25.9
533,199.08,22.953,25.561
567,199.56,23.178,25.618
600,202.24,23.493,25.942
633,202.743,22.64,25.334
666,202.009,21.923,24.783
700,197.39,22.492,25.007
733,189.746,23.781,25.597
766,186.596,24.43,25.996
800,185.8,24.449,25.979
833,183.347,24.643,25.927
866,179.405,25.079,25.931
900,178.26,25.041,25.844
933,177.346,24.919,25.545
966,175.627,24.898,25.167
1000,172.021,25.135,24.857
1033,171.237,24.851,24.665
1066,175.05,23.387,24.17
1100,180.311,21.097,23.085
1133,184.646,18.943,21.872
1166,186.325,17.73,21.194
1200,187.467,17.054,20.779
1233,188.584,16.703,20.577
1266,190.72,16.425,20.398
1299,192.694,16.192,20.206
1333,192.103,16.663,20.453
1366,191.764,17.357,20.866
1399,193.264,17.158,20.852
1433,193.182,16.101,20.072
1466,193.376,15.207,19.352
1499,196.988,14.564,19.074
1533,199.582,14.21,18.837
1566,201.006,14.23,18.924
1599,201.304,14.506,19.065
1633,201.703,15.009,19.509
1666,203.461,14.702,19.332
1699,203.67,14.479,18.994
1733,202.081,15.045,19.298
1766,200.915,15.163,19.372
1799,201.048,14.092,18.576
1833,201.078,13.161,17.755
1866,201.289,13.055,17.728
1899,201.056,13.017,17.652
1932,199.799,12.995,17.647
1966,198.135,12.756,17.429
1999,197.531,12.912,17.628
2032,198.051,13.326,18.084
2066,198.421,13.485,18.207
2099,199.19,12.991,17.793
2132,199.063,12.052,16.899
2166,200.998,12.391,17.357
2199,201.73,12.67,17.608
2232,199.127,12.734,17.465
2266,197.088,12.868,17.498
2299,197.099,12.825,17.46
2332,197.272,12.303,16.945
2366,198.84,13.024,17.759
2399,199.721,12.689,17.564
2432,198.872,11.91,16.776
2466,198.535,12.324,17.176
2499,198.85,12.466,17.37
2532,199.331,12.871,17.73
2565,198.894,13.287,17.971
2599,198.346,13.623,18.161
2632,197.366,13.548,17.98
2665,195.531,13.666,17.913
2699,194.343,13.342,17.528
2732,193.76,13.035,17.368
2765,193.895,13.532,17.999
2799,194.46,13.307,17.953
2832,193.814,12.863,17.544
2865,193.68,13.042,17.712
2899,194.795,13.623,18.313
2932,196.11,13.375,18.093
2965,195.979,12.819,17.525
2999,195.821,12.801,17.469
3032,195.531,12.933,17.586
3065,194.928,13.03,17.612
3099,193.96,13.111,17.651
3132,193.669,13.281,17.842
3198,194.983,12.994,17.513
3232,194.966,13.406,17.892
3265,194.587,13.593,18.036
3298,194.75,13.66,18.094
3332,194.436,13.479,17.855
3365,194.689,13.555,17.897
3398,195.011,13.806,18.093
3432,195.717,14.105,18.354
3465,195.804,13.877,18.09
3498,194.421,13.241,17.337
3532,192.247,13.339,17.411
3565,190.36,13.897,17.995
3598,188.78,14.433,18.505
3632,188.184,15.097,19.058
3665,188.895,15.642,19.567
3698,190.529,15.586,19.538
3732,191.118,15.579,19.5
3765,190.464,15.273,19.153
3798,189.197,15.012,18.882
3831,188.228,14.839,18.7
3865,188.829,15.421,19.243
3898,190.15,15.735,19.599
3931,191.522,15.942,19.837
3965,193.487,15.673,19.703
3998,193.743,15.136,19.281
4031,193.846,14.885,19.058
4065,195.211,15.25,19.361
4098,197.532,15.098,19.316
4131,198.855,14.538,18.906
4165,199.085,13.997,18.451
4198,199.91,13.966,18.469
4231,200.838,14.563,18.939
4265,201.483,15.097,19.294
4298,201.1,15.195,19.275
4331,200.359,14.6,18.685
4365,198.834,13.852,18.075
4398,197.861,13.572,17.971
4431,197.819,13.668,18.128
4464,198.336,13.709,18.242
4498,198.933,13.668,18.234
4531,199.54,13.905,18.447
4564,200.09,14.116,18.626
4598,200.268,14.211,18.672
4631,200.534,14.406,18.853
4664,201.742,14.61,19.149
4698,202.292,14.765,19.327
4731,201.808,14.835,19.389
4764,200.683,14.907,19.384
4798,200.227,15.029,19.423
4831,200.273,14.522,18.885
4864,200.903,13.579,17.99
4898,202.616,12.869,17.485
4931,202.014,12.248,16.948
4964,198.84,12.128,16.786
4998,197.846,12.308,16.87
5031,198.674,12.899,17.32
5064,198.238,13.011,17.323
5097,197.547,13.027,17.321
5131,198.261,13.237,17.579
5164,198.684,13.336,17.731
5197,197.006,12.35,16.902
5231,195.454,11.661,16.46
5264,195.809,11.715,16.685
5297,196.626,11.167,16.395
5331,196.736,10.133,15.491
5364,199.658,9.915,15.461
5397,201.445,10.508,15.97
5431,203.275,11.076,16.458
5464,203.805,10.82,16.284
5497,202.983,10.395,15.836
5531,203.097,10.72,16.017
5564,203.736,11.386,16.579
5664,204.507,12.93,17.69
5697,205.072,13.462,18.058
5731,204.96,13.354,17.902
5764,205.09,13.599,18.011
5797,205.834,14.269,18.515
5830,205.788,14.843,18.899
5864,204.855,15.051,18.956
5897,203.707,15.237,19.004
5930,203.015,15.084,18.814
5964,202.547,14.95,18.637
5997,202.643,15.149,18.779
6030,202.733,14.948,18.606
6064,201.602,13.941,17.794
6097,200.308,13.44,17.548
6130,199.689,13.56,17.777
6164,199.658,13.908,18.124
6197,199.277,13.975,18.159
6230,199.131,14.143,18.224
6264,199.153,14.5,18.488
6297,199.283,14.56,18.505
6330,198.503,14.134,18.059
6364,197.841,13.561,17.514
6397,197.542,13.326,17.32
6430,197.612,13.543,17.533
6463,198.258,14.164,18.169
6497,198.558,14.179,18.165
6530,198.607,14.004,17.977
6563,199.005,13.94,17.89
6597,199.461,14.404,18.302
6630,199.846,14.592,18.462
6663,199.877,14.291,18.133
6697,200.261,14.484,18.309
6730,200.636,14.705,18.473
6763,200.713,14.513,18.268
6797,200.819,14.312,18.068
6830,201.352,14.487,18.231
6863,201.714,14.216,17.968
6897,200.681,13.216,17.079
6930,199.524,12.774,16.889
6963,199.167,12.816,17.073
6997,199.419,13.017,17.346
7030,199.607,13.17,17.477
7063,200.138,13.612,17.873
7096,200.53,13.878,18.064
7130,200.986,13.906,18.032
7163,200.868,13.497,17.594
7196,200.06,13.025,17.092
7230,200.001,13.24,17.34
7263,200.286,13.31,17.451
7296,200.256,13.112,17.27
7330,200.591,13.284,17.467
7363,201.052,13.526,17.664
7396,201.352,13.584,17.699
7430,201.569,13.584,17.664
7463,202.103,13.862,17.907
7496,202.498,13.794,17.817
7530,202.487,13.736,17.707
7563,202.812,13.938,17.854
7596,202.928,13.736,17.643
7630,203.07,13.725,17.612
7663,202.841,13.442,17.278
7696,201.38,12.534,16.533
7729,200.286,12.125,16.397
7763,200.09,12.284,16.663
7796,200.402,12.67,17.075
7829,200.707,12.781,17.172
7863,201.0,12.949,17.297
7896,201.512,13.207,17.489
7929,202.033,13.388,17.615
7963,201.796,13.027,17.242
7996,201.228,12.727,16.928
8029,200.954,12.642,16.872
8063,200.816,12.556,16.82
8096,200.871,12.564,16.862
8129,201.098,12.608,16.912
8163,201.388,12.812,17.091
8196,201.997,13.115,17.377
8229,202.542,13.171,17.396
8263,202.938,13.182,17.349
8296,203.331,13.238,17.357
8329,203.473,13.203,17.282
8362,203.334,12.984,17.036
8396,203.315,13.138,17.172
8429,203.37,13.309,17.311
8462,203.109,12.943,16.929
8496,201.629,12.013,16.151
8529,200.537,11.881,16.191
8562,200.941,12.473,16.884
8596,201.585,12.774,17.252
8629,202.029,12.957,17.419
8662,203.175,13.427,17.885
8696,203.543,13.544,17.946
8729,203.557,13.576,17.878
8762,203.234,13.195,17.46
8796,203.091,13.063,17.33
8829,203.347,13.194,17.509
8862,202.853,13.001,17.302
8896,202.835,12.966,17.265
8929,203.144,12.855,17.145
8962,203.86,12.396,16.717
8995,203.752,12.177,16.476
9029,202.224,12.096,16.235
9062,200.914,12.151,16.174
9095,200.755,11.904,15.9
9129,201.039,11.283,15.353
9162,201.189,10.786,14.876
9195,202.627,10.82,14.937
9229,204.359,10.802,14.949
9262,204.948,9.848,14.058
9295,203.91,8.783,13.067
9329,200.772,7.812,12.431
9362,197.449,6.889,11.683
9395,198.597,6.134,11.136
9429,199.577,5.647,10.661
9462,200.437,5.472,10.439
9495,201.301,5.238,10.132
9529,202.16,4.994,9.73
9562,204.262,6.136,10.596
9595,207.743,8.705,12.712
9629,207.077,9.554,13.397
9662,205.785,9.235,13.195
9695,207.157,8.584,12.8
9728,209.096,8.502,12.833
9762,207.695,8.007,12.359
9795,206.902,7.736,12.1
9828,206.115,7.492,11.879
9862,207.736,7.07,11.703
9895,209.047,6.513,11.299
9928,210.15,6.676,11.435
9962,210.272,7.361,11.937
9995,209.916,7.491,12.017
10028,209.85,7.493,12.013
10062,210.066,7.47,12.001
10095,210.385,7.138,11.719
10128,210.996,6.846,11.496
10162,211.31,6.235,10.998
10195,209.567,5.253,10.138
10228,208.806,5.204,10.239
10262,208.947,5.303,10.424
10295,210.138,6.0,11.186
10328,211.295,6.405,11.623
10361,211.59,6.355,11.523
10395,211.972,6.585,11.678
10428,211.721,6.589,11.585
10461,211.222,6.412,11.323
10495,210.493,5.922,10.806
10528,210.261,5.731,10.668
10561,210.353,5.789,10.763
10595,210.781,6.122,11.118
10628,211.164,6.364,11.38
10661,211.548,6.674,11.665
10695,211.689,6.815,11.716
10728,211.775,6.748,11.629
10761,212.147,6.862,11.747
10795,212.462,7.196,11.996
10828,212.394,7.23,11.97
10861,212.406,7.176,11.897
10895,212.348,7.193,11.866
10928,212.545,7.185,11.885
10961,212.81,7.149,11.873
10994,212.541,6.716,11.432
11028,210.799,5.906,10.668
11061,209.775,5.618,10.554
11094,209.95,5.421,10.636
11128,209.963,5.412,10.616
11161,210.418,5.474,10.759
11194,211.174,5.611,11.005
11228,211.568,5.623,11.046
11261,211.476,5.355,10.742
11294,211.472,5.2,10.617
11328,211.59,5.0,10.5
11361,211.46,4.924,10.44
11394,211.676,5.095,10.647
11428,212.24,5.305,10.928
11461,212.763,5.392,11.063
11494,213.046,5.44,11.072
11528,213.781,5.614,11.316
11561,214.14,5.704,11.392
11594,214.385,5.665,11.342
11626,214.455,5.456,11.135
11661,214.864,5.509,11.213
11694,215.161,5.579,11.269
11727,215.055,5.329,10.96
11761,215.369,5.482,11.1
11794,215.512,5.505,11.104
11827,215.335,5.144,10.723
11861,214.274,4.429,9.947
11894,212.69,4.106,9.687
11927,211.671,4.003,9.672
11961,211.305,4.213,9.856
11994,211.348,4.448,10.092
12027,211.762,4.755,10.443
12061,212.032,4.89,10.591
12094,212.103,4.786,10.445
12126,212.035,4.753,10.372
12161,211.403,4.5,10.051
12194,210.68,4.292,9.787
12227,210.295,4.268,9.774
12260,210.588,4.606,10.193
12294,210.812,4.682,10.316
12327,210.99,4.544,10.227
12359,211.577,4.797,10.517
12394,212.391,4.941,10.745
12427,212.084,4.783,10.448
12460,212.116,4.786,10.437
12494,211.894,4.554,10.175
12527,211.96,4.702,10.284
12560,212.426,4.97,10.596
12594,212.352,4.842,10.43
12626,212.849,5.191,10.769
12660,213.621,5.457,11.111
12694,212.394,4.594,10.124
12727,210.779,4.091,9.597
12760,210.301,4.308,9.858
12794,210.528,4.695,10.36
12827,210.607,4.799,10.485
12859,210.832,5.09,10.724
12893,211.383,5.52,11.163
12927,211.56,5.302,10.942
12960,211.764,5.2,10.841
12993,212.199,5.151,10.875
13027,211.905,4.914,10.581
13060,211.845,4.92,10.582
13092,212.329,5.197,10.929
13126,212.604,5.302,11.023
13160,212.81,5.335,11.034
13193,213.195,5.629,11.304
13227,213.641,5.749,11.426
13260,213.658,5.672,11.287
13293,213.688,5.698,11.265
13327,213.998,5.885,11.45
13359,213.972,5.752,11.294
13393,213.858,5.643,11.139
13427,214.096,5.873,11.363
13460,214.401,6.0,11.515
13493,214.186,5.643,11.132
13527,212.631,4.774,10.248
13560,211.421,4.529,10.164
13592,210.917,4.554,10.269
13626,211.098,4.778,10.58
13660,211.475,5.034,10.866
13693,211.752,5.228,11.056
13726,211.527,5.075,10.844
13760,211.14,4.97,10.638
13793,211.041,4.932,10.636
13825,210.99,4.836,10.596
13859,210.648,4.756,10.482
13893,210.455,4.869,10.58
13926,210.494,5.017,10.762
13960,210.947,5.304,11.083
13993,211.209,5.387,11.159
14026,211.405,5.432,11.17
14060,211.678,5.57,11.281
14092,211.755,5.547,11.221
14126,211.444,5.19,10.807
14160,210.993,4.992,10.534
14193,211.154,5.218,10.757
14226,210.932,5.12,10.622
14259,210.221,4.9,10.278
14293,210.082,5.044,10.416
14325,210.119,5.355,10.689
14359,210.304,5.537,10.871
14393,208.946,4.809,10.007
14426,207.492,4.512,9.743
14459,206.663,4.511,9.829
14493,206.206,4.571,9.925
14526,206.61,5.087,10.486
14559,207.257,5.606,11.03
14592,207.71,5.914,11.306
14626,208.144,6.126,11.505
14659,208.58,6.399,11.747
14693,207.774,5.792,11.069
14726,207.631,5.929,11.212
14759,207.995,6.162,11.523
14793,208.422,6.321,11.74
14825,208.883,6.363,11.844
14859,208.825,6.253,11.675
14892,209.179,6.398,11.828
14926,209.16,6.221,11.633
14959,209.362,6.421,11.807
14992,209.615,6.56,11.95
15026,209.531,6.31,11.694
15059,209.723,6.461,11.844
15092,209.973,6.496,11.887
15126,209.973,6.445,11.808
15159,210.05,6.443,11.803
15192,210.215,6.508,11.848
15226,210.357,6.514,11.849
15259,210.547,6.53,11.858
15292,209.619,5.853,11.128
15325,208.028,5.265,10.598
15359,207.168,5.147,10.613
15392,207.072,5.316,10.878
15426,207.223,5.539,11.194
15459,207.501,5.741,11.418
15492,207.782,5.859,11.538
15525,207.962,5.919,11.582
15559,207.862,5.772,11.411
15592,207.458,5.478,11.098
15625,206.992,5.26,10.866
15659,206.846,5.353,10.993
15692,206.883,5.42,11.082
15725,207.165,5.504,11.209
15759,207.6,5.618,11.349
15792,208.17,5.808,11.554
15825,208.457,5.889,11.589
15859,208.691,6.066,11.725
15892,208.726,6.053,11.67
15925,208.576,5.947,11.495
15959,208.646,5.95,11.496
15992,208.88,6.002,11.575
16025,209.002,6.009,11.577
16059,209.066,6.051,11.585
16092,209.109,6.136,11.637
16125,209.196,6.293,11.762
16158,209.256,6.419,11.847
16192,208.659,6.009,11.358
16225,206.886,5.302,10.656
16258,205.598,5.13,10.589
16292,205.291,5.253,10.789
16325,205.614,5.536,11.135
16358,206.111,5.765,11.378
16392,206.543,5.998,11.578
16425,206.705,6.068,11.579
16458,206.989,6.066,11.564
16492,207.001,5.965,11.454
16525,206.57,5.683,11.127
16558,206.241,5.568,11.005
16592,206.147,5.629,11.068
16625,206.287,5.717,11.174
16658,206.405,5.807,11.256
16692,206.545,5.912,11.322
16725,206.592,5.887,11.27
16758,206.716,5.884,11.258
16791,206.88,5.918,11.274
16825,206.922,5.895,11.22
16858,206.958,5.922,11.227
16891,206.931,5.896,11.187
16925,207.022,5.882,11.185
16958,207.212,5.956,11.261
16991,207.382,5.97,11.276
17025,207.639,6.022,11.34
17058,208.0,6.116,11.434
17091,208.063,6.014,11.298
