time,R,G,B
0,203.154,0.0,8.872
54,203.097,0.0,8.941
65,203.001,0.0,8.807
112,203.043,0.0,8.884
139,203.088,0.0,8.914
178,203.124,0.0,8.894
210,203.207,0.0,8.889
248,203.631,0.0,9.074
287,203.699,0.0,9.042
321,203.403,0.0,8.886
343,203.579,0.0,8.953
378,204.053,0.0,9.129
414,204.121,0.0,9.145
449,203.959,0.0,8.963
480,204.096,0.0,9.026
500,203.941,0.0,9.102
550,203.44,0.0,8.94
581,202.966,0.0,8.827
622,202.799,0.0,8.891
640,203.103,0.0,8.997
682,203.169,0.0,8.969
706,203.002,0.0,8.899
753,203.124,0.0,8.933
777,203.363,0.0,8.961
804,203.374,0.0,8.937
849,203.327,0.0,8.976
873,203.336,0.0,9.017
922,203.054,0.0,8.824
939,203.164,0.0,8.834
982,203.753,0.0,9.104
999,203.812,0.0,9.055
1037,204.008,0.0,9.147
1067,204.127,0.0,9.145
1121,203.894,0.0,9.043
1148,203.95,0.0,9.058
1178,204.361,0.0,9.015
1213,204.478,0.0,9.151
1230,204.193,0.0,9.054
1264,204.307,0.0,9.106
1297,204.074,0.0,9.021
1334,203.386,0.0,8.812
1390,203.2,0.0,8.908
1412,203.108,0.0,8.827
1444,203.152,0.0,8.91
1468,203.661,0.0,9.086
1511,204.686,0.0,9.321
1534,205.555,0.0,9.471
1581,206.285,0.0,9.649
1618,207.18,0.0,9.89
1634,207.936,0.0,10.093
1662,208.65,0.0,10.183
1714,209.774,0.0,10.559
1731,210.94,0.0,10.597
1783,210.937,0.0,10.669
1803,210.272,0.0,10.27
1851,209.433,0.0,9.852
1872,208.919,0.0,9.777
1912,208.388,0.0,9.596
1932,208.18,0.0,9.412
1984,208.109,0.0,9.445
2001,208.063,0.0,9.365
2054,208.015,0.0,9.366
2078,207.953,0.0,9.223
2124,207.765,0.0,9.32
2152,207.121,0.0,9.162
2191,206.566,0.0,9.044
2214,206.188,0.0,9.018
2234,206.031,0.0,9.128
2271,206.088,0.0,9.072
2317,205.993,0.0,8.965
2333,206.143,0.0,9.085
2387,206.198,0.0,9.045
2406,206.221,0.0,9.021
2445,206.529,0.0,9.133
2466,206.431,0.0,9.103
2506,206.007,0.0,8.989
2532,205.95,0.0,8.893
2573,206.205,0.0,9.043
2601,206.305,0.0,9.073
2637,206.555,0.0,9.128
2671,206.732,0.0,9.216
2719,206.742,0.0,9.073
2736,206.814,0.0,9.174
2780,206.95,0.0,9.143
2815,206.971,0.0,9.15
2832,207.015,0.0,9.156
2885,207.047,0.0,9.073
2903,206.967,0.0,9.034
2937,207.068,0.0,9.007
2988,206.778,0.0,9.068
3008,206.067,0.0,8.953
3036,205.411,0.0,8.775
3088,205.143,0.0,8.742
3105,205.326,0.0,8.874
3128,204.986,0.0,8.77
3199,204.995,0.0,8.742
3244,205.2,0.0,8.795
3267,205.225,0.0,8.818
3303,205.355,0.0,8.747
3333,205.374,0.0,8.791
3374,205.197,0.0,8.772
3404,205.38,0.0,8.819
3453,205.505,0.0,8.804
3478,205.579,0.0,8.806
3504,205.859,0.0,8.921
3552,205.945,0.0,8.887
3574,205.931,0.0,8.912
3614,206.036,0.0,8.975
3632,205.826,0.0,8.8
3669,205.87,0.0,8.832
3700,206.162,0.0,8.864
3736,206.225,0.0,8.848
3764,205.6,0.0,8.766
3799,205.029,0.0,8.7
3829,204.81,0.0,8.691
3872,204.459,0.0,8.629
3911,204.598,0.0,8.674
3928,204.635,0.0,8.664
3968,204.441,0.0,8.532
4021,204.516,0.0,8.563
4038,204.859,0.0,8.731
4071,204.896,0.0,8.756
4096,204.992,0.0,8.802
4141,205.074,0.0,8.709
4168,204.87,0.0,8.704
4239,204.994,0.0,8.724
4245,205.098,0.0,8.73
4275,205.254,0.0,8.803
4316,205.623,0.0,8.93
4344,205.678,0.0,8.916
4375,205.952,0.0,8.955
4404,206.047,0.0,8.936
4455,205.884,0.0,8.832
4485,206.015,0.0,8.907
4514,205.926,0.0,8.913
4548,205.908,0.0,8.87
4583,205.914,0.0,8.87
4599,205.37,0.0,8.801
4637,204.934,0.0,8.805
4664,204.945,0.0,8.83
4714,205.11,0.0,8.78
4753,205.225,0.0,8.804
4770,205.098,0.0,8.757
4805,205.155,0.0,8.799
4853,205.489,0.0,8.837
4876,205.433,0.0,8.806
4903,205.626,0.0,8.901
4959,205.605,0.0,8.952
4985,205.308,0.0,8.806
5017,205.342,0.0,8.813
5037,205.264,0.0,8.805
5071,205.321,0.0,8.832
5099,205.732,0.0,8.896
5141,205.728,0.0,8.94
5163,205.622,0.0,8.857
5197,205.702,0.0,8.821
5230,205.553,0.0,8.872
5266,205.64,0.0,8.868
5303,205.613,0.0,8.87
5334,204.963,0.0,8.798
5383,204.343,0.0,8.61
5398,204.039,0.0,8.546
5437,203.912,0.0,8.578
5462,204.004,0.0,8.603
5504,204.196,0.0,8.655
5531,204.528,0.0,8.782
5581,204.996,0.0,8.886
5598,205.289,0.0,9.009
5631,205.512,0.0,9.122
5665,205.771,0.0,9.175
5700,205.814,0.0,9.308
5750,206.176,0.0,9.392
5767,206.898,0.0,9.671
5808,207.138,0.0,9.797
5832,207.334,0.0,9.931
5871,207.402,0.0,9.907
5901,207.335,0.0,9.922
5956,207.484,0.0,9.97
5980,207.746,0.0,10.064
6002,207.824,0.0,10.069
6055,207.755,0.0,9.916
6073,207.757,0.0,9.86
6101,206.941,0.0,9.861
6157,206.219,0.0,9.741
6185,206.232,0.0,9.736
6208,206.094,0.0,9.676
6233,206.052,0.0,9.708
6281,206.162,0.0,9.795
