time,R,G,B
0,231.48,68.632,17.305
33,231.508,68.688,17.263
68,231.528,68.733,17.232
103,231.475,68.804,17.211
133,231.467,68.864,17.071
167,231.471,68.99,17.029
200,231.467,69.099,16.981
235,231.459,69.207,17.164
267,231.461,69.382,17.083
301,231.551,69.577,17.084
334,231.615,69.785,17.106
367,231.509,69.794,17.079
402,231.119,69.162,17.111
434,230.914,68.325,17.124
468,230.786,67.607,17.087
504,230.858,67.218,17.184
537,230.857,66.937,17.365
572,230.775,66.677,17.391
610,230.75,66.447,17.207
635,230.748,66.389,17.204
668,230.811,66.363,17.331
701,230.77,66.294,17.282
735,230.772,66.249,17.271
769,230.759,66.194,17.274
802,230.756,66.25,17.211
836,230.774,66.335,17.225
870,230.805,66.414,17.237
901,230.758,66.466,17.159
948,230.82,66.73,17.208
969,230.734,66.802,17.162
1002,230.781,66.912,17.129
1059,230.808,67.107,17.098
1070,230.921,67.338,17.138
1108,230.856,67.464,17.12
1144,230.866,67.575,17.125
1172,230.899,67.803,17.131
1219,230.892,67.994,17.168
1241,230.902,68.138,17.081
1273,230.629,67.682,17.117
1306,230.346,66.784,17.085
1339,230.211,66.027,16.984
1374,230.153,65.495,17.068
1425,230.127,65.093,17.179
1464,230.072,64.83,17.268
1484,230.065,64.718,17.122
1509,230.043,64.616,17.136
1539,230.036,64.551,17.087
1578,230.0,64.485,17.099
1613,229.948,64.418,17.122
1662,229.945,64.372,17.097
1687,229.906,64.349,17.088
1708,229.931,64.371,17.153
1769,229.956,64.547,17.022
1782,229.991,64.691,17.01
1810,229.975,64.818,16.936
1854,230.026,65.004,16.801
1880,230.02,65.172,17.026
1911,230.058,65.367,16.992
1945,230.131,65.609,16.864
2047,230.156,65.826,16.884
2076,230.228,66.045,16.901
2084,230.194,66.34,16.84
2103,230.207,66.488,16.809
2134,230.248,66.762,16.776
2182,230.272,66.963,16.785
2217,230.147,66.899,16.827
2257,229.796,66.058,16.803
2269,229.546,65.054,16.881
2289,229.379,64.292,16.938
2313,229.316,63.83,17.105
2442,229.316,63.649,17.158
2458,229.301,63.488,17.123
2469,229.316,63.291,17.089
2491,229.246,63.107,17.078
2510,229.246,63.107,17.078
2530,229.307,63.103,17.084
2558,229.256,63.057,17.12
2581,229.265,63.091,17.083
2614,229.316,63.17,17.112
2648,229.366,63.297,17.111
2695,229.357,63.428,17.149
2726,229.38,63.625,17.116
2747,229.502,63.949,17.089
2781,229.495,64.122,17.099
2813,229.502,64.265,17.083
2847,229.548,64.498,17.082
2880,229.564,64.714,17.054
2914,229.62,64.962,17.086
2949,229.684,65.233,16.99
3017,229.729,65.479,17.006
3032,229.75,65.788,17.078
3065,229.803,66.041,17.028
3099,229.791,66.243,16.965
3132,229.851,66.523,16.967
3155,229.776,66.682,16.903
3199,229.473,66.311,16.836
3222,229.191,65.421,16.736
3254,228.991,64.453,16.784
3297,228.91,63.716,17.125
3321,228.936,63.359,17.19
3349,228.908,63.132,17.111
3391,228.871,62.916,17.137
3433,228.748,62.717,16.989
3449,228.771,62.7,16.944
3484,228.752,62.637,17.003
3518,228.705,62.597,17.019
3549,228.762,62.662,17.118
3583,228.798,62.706,17.132
3618,228.765,62.69,17.038
3651,228.796,62.846,17.113
3685,228.926,63.17,16.974
3731,228.963,63.359,16.949
3759,228.984,63.501,17.044
3785,229.041,63.737,17.039
3818,229.115,63.922,17.036
3868,229.184,64.181,16.999
3884,229.209,64.426,16.903
3917,229.263,64.681,16.922
3951,229.289,64.963,16.918
4000,229.372,65.242,16.874
4026,229.409,65.515,16.911
4062,229.378,65.735,16.88
4102,229.401,66.043,16.886
4136,229.502,66.389,16.944
4152,229.391,66.454,16.759
4185,229.063,65.831,16.683
4219,228.766,64.836,16.815
4252,228.574,63.807,16.859
4285,228.458,63.15,16.724
4335,228.424,62.844,16.804
4354,228.46,62.685,17.006
4386,228.453,62.547,16.961
4419,228.407,62.492,16.872
4453,228.413,62.509,16.907
4487,228.449,62.466,16.985
4522,228.429,62.422,16.987
4553,228.437,62.453,16.766
4588,228.428,62.516,16.776
4621,228.476,62.636,16.891
4655,228.538,62.842,16.897
4687,228.615,63.108,16.878
4729,228.655,63.349,16.937
4769,228.685,63.507,16.801
4787,228.73,63.717,16.79
4829,228.782,64.063,16.827
4870,228.912,64.394,16.797
4903,228.953,64.635,16.687
4937,229.028,64.941,16.674
4962,229.063,65.1,16.704
5014,229.107,65.383,16.66
5025,229.183,65.815,16.713
5062,229.247,66.124,16.741
5087,229.234,66.358,16.663
5137,229.135,66.408,16.619
5155,228.754,65.624,16.429
5204,228.495,64.563,16.525
5238,228.277,63.594,16.866
5271,228.257,63.053,16.898
5304,228.171,62.625,16.859
5339,228.159,62.466,16.886
5371,228.24,62.406,16.837
5398,228.172,62.329,16.853
5437,228.218,62.435,16.86
5469,228.205,62.394,16.854
5504,228.094,62.265,16.878
5538,228.083,62.284,16.813
5572,228.109,62.329,16.918
5606,228.149,62.49,16.907
5639,228.271,62.723,16.861
5672,228.321,62.951,16.855
5706,228.372,63.228,16.739
5739,228.506,63.552,16.741
5782,228.597,63.779,16.847
5797,228.678,64.062,16.805
5840,228.624,64.246,16.724
5874,228.676,64.519,16.698
5908,228.736,64.815,16.78
5931,228.794,65.124,16.675
5973,228.784,65.433,16.652
6005,228.802,65.707,16.597
6047,228.927,66.084,16.562
6060,228.83,66.329,16.546
6098,228.594,66.044,16.549
6141,228.231,65.012,16.55
6172,228.021,63.822,16.601
6209,227.888,62.882,16.686
6240,227.79,62.565,16.699
6275,227.772,62.321,16.757
6299,227.818,62.097,16.834
6341,227.836,62.04,16.862
6368,227.825,62.065,16.795
6406,227.816,62.058,16.737
6439,227.926,62.068,16.806
6473,227.901,62.047,16.79
6505,227.847,62.098,16.729
6539,227.918,62.24,16.738
6574,227.973,62.411,16.767
6608,228.047,62.672,16.692
6642,228.009,62.866,16.575
6675,228.081,63.074,16.613
6709,228.134,63.362,16.652
6741,228.213,63.63,16.572
6788,228.28,63.876,16.635
6805,228.319,64.133,16.626
6842,228.419,64.487,16.672
6876,228.452,64.787,16.641
6910,228.448,65.103,16.725
6944,228.505,65.405,16.655
6979,228.575,65.715,16.623
7010,228.534,65.889,16.587
7065,228.244,65.385,16.616
7088,227.864,64.177,16.654
7101,227.531,63.003,16.533
7142,227.39,62.103,16.631
7176,227.404,61.54,16.838
7209,227.333,61.221,16.858
7244,227.342,61.023,16.851
7288,227.325,60.938,16.86
7305,227.329,60.869,16.848
7344,227.293,60.821,16.851
7377,227.308,60.811,16.896
7403,227.266,60.754,16.861
7443,227.281,60.771,16.802
7477,227.321,60.921,16.88
7509,227.364,61.071,16.683
7543,227.523,61.415,16.689
7577,227.511,61.648,16.678
7612,227.559,61.924,16.666
7644,227.63,62.184,16.913
7677,227.784,62.55,16.904
7711,227.814,62.855,16.685
7744,227.874,63.139,16.689
7776,227.884,63.368,16.688
7809,227.841,63.543,16.586
7843,227.86,63.854,16.503
7876,227.902,64.123,16.459
7911,228.041,64.494,16.612
7944,228.118,64.875,16.581
7977,227.945,64.797,16.457
8010,227.532,63.985,16.448
8045,227.199,62.797,16.582
8102,226.982,61.702,16.568
8114,226.881,61.008,16.725
8144,226.928,60.766,16.726
8179,226.883,60.456,16.703
8212,226.831,60.298,16.693
8246,226.914,60.28,16.829
8280,226.905,60.258,16.834
8327,226.897,60.232,16.865
8354,226.874,60.165,16.856
8388,226.804,60.115,16.747
8406,226.786,60.151,16.701
8446,226.82,60.288,16.626
8479,226.858,60.447,16.654
8514,226.875,60.676,16.692
8547,226.943,60.905,16.701
8581,227.01,61.165,16.685
8622,227.077,61.402,16.734
8648,227.16,61.671,16.727
8680,227.185,61.9,16.733
8714,227.203,62.112,16.667
8747,227.27,62.385,16.618
8780,227.359,62.699,16.641
8813,227.406,62.954,16.588
8846,227.529,63.316,16.559
8880,227.646,63.651,16.604
8914,227.388,63.426,16.548
8947,226.892,62.286,16.556
8980,226.614,61.05,16.753
9014,226.492,60.196,16.759
9047,226.467,59.789,16.733
9080,226.46,59.587,16.809
9149,226.491,59.4,16.722
9160,226.597,59.442,16.747
9188,226.633,59.401,16.878
9242,226.577,59.371,16.819
9255,226.462,59.404,16.727
9288,226.411,59.342,16.684
9339,226.517,59.46,16.617
9373,226.543,59.568,16.628
9414,226.54,59.765,16.74
9432,226.626,60.041,16.755
9451,226.628,60.215,16.653
9482,226.613,60.422,16.587
9516,226.67,60.748,16.559
9549,226.7,60.992,16.54
9583,226.793,61.279,16.629
9617,226.84,61.53,16.588
9650,226.967,61.874,16.527
9683,227.161,62.27,16.557
9717,227.198,62.611,16.606
9751,227.205,62.855,16.516
9783,227.068,62.984,16.405
9817,226.676,62.192,16.377
9851,226.306,60.822,16.546
9883,226.099,59.719,16.562
9918,226.04,59.09,16.718
9951,226.042,58.758,16.782
9984,226.088,58.531,16.714
10017,226.086,58.393,16.724
10051,226.135,58.374,16.735
10085,226.138,58.445,16.705
10130,226.051,58.308,16.683
10168,226.03,58.235,16.661
10185,225.98,58.185,16.596
10218,226.041,58.264,16.633
10251,226.091,58.333,16.656
10285,226.111,58.489,16.658
10336,226.19,58.664,16.707
10378,226.175,58.73,16.704
10389,226.095,58.748,16.499
10427,226.081,58.799,16.466
10468,226.116,58.939,16.503
10502,226.138,59.067,16.457
10518,226.191,59.18,16.508
10560,226.225,59.408,16.506
10584,226.249,59.725,16.603
10618,226.292,60.018,16.555
10651,226.174,60.053,16.494
10684,225.871,59.24,16.467
10719,225.556,57.733,16.589
10768,225.325,56.349,16.613
10783,225.234,55.49,16.68
10833,225.138,54.853,16.645
10867,224.997,54.269,16.856
10900,224.943,53.9,16.965
10954,224.965,53.78,16.637
10985,224.922,53.664,16.623
11000,224.945,53.518,16.705
11033,224.912,53.418,16.729
11069,224.983,53.351,16.709
11103,224.986,53.446,16.668
11132,224.984,53.689,16.651
11153,225.096,54.03,16.67
11202,225.126,54.298,16.719
11235,225.231,54.646,16.695
11268,225.323,55.041,16.69
11300,225.427,55.388,16.627
11336,225.554,55.841,16.612
11368,225.654,56.217,16.554
11394,225.65,56.446,16.651
11429,225.705,56.797,16.604
11469,225.782,57.114,16.491
11504,225.919,57.557,16.52
11522,225.844,57.636,16.626
11562,225.402,56.734,16.54
11604,225.079,55.378,16.608
11636,224.799,54.146,16.606
11671,224.702,53.458,16.729
11707,224.679,53.078,16.738
11739,224.644,52.786,16.854
11755,224.643,52.594,16.846
11796,224.65,52.45,16.651
11839,224.651,52.378,16.67
11873,224.597,52.317,16.652
11906,224.584,52.231,16.673
11940,224.642,52.181,16.666
11987,224.709,52.303,16.699
11996,224.707,52.464,16.575
12039,224.743,52.695,16.584
12074,224.786,53.011,16.675
12105,224.891,53.312,16.676
12138,224.846,53.447,16.592
12172,224.904,53.713,16.571
12197,224.912,53.929,16.584
12238,225.078,54.244,16.631
12274,225.178,54.532,16.626
12305,225.274,54.871,16.581
12342,225.306,55.161,16.525
12369,225.064,54.76,16.5
12406,224.746,53.672,16.541
12441,224.552,52.398,16.597
