time,R,G,B
0,218.407,21.11,68.43
9,218.53,21.101,68.514
47,218.515,21.201,68.539
75,218.511,21.195,68.517
126,218.523,21.296,68.347
149,218.473,21.201,68.246
180,218.589,21.234,68.199
204,218.609,21.228,68.283
253,218.762,21.197,68.308
267,218.791,21.19,68.361
320,218.726,21.168,68.345
348,218.965,21.25,68.466
383,219.33,21.508,68.692
414,219.548,21.721,68.876
453,219.381,21.604,68.948
477,219.61,21.768,69.076
520,219.845,21.932,69.178
546,219.322,21.6,68.92
581,218.851,21.233,68.695
605,218.659,21.125,68.536
656,218.757,21.275,68.335
664,218.747,21.23,68.335
733,218.588,21.215,68.332
737,218.694,21.462,68.373
786,219.072,21.666,68.748
812,219.15,21.732,68.819
836,219.164,21.735,68.751
886,219.34,21.829,68.898
920,219.537,22.102,68.848
940,219.739,22.227,69.019
1027,220.039,22.358,69.264
1029,220.191,22.506,69.413
1033,220.242,22.518,69.448
1081,220.469,22.62,69.648
1112,220.825,22.925,69.853
1135,220.87,23.081,69.853
1184,221.07,23.266,69.956
1212,220.987,23.22,69.832
1236,220.894,23.172,69.838
1294,220.747,23.041,69.762
1299,220.255,22.619,69.486
1349,219.794,22.122,69.197
1379,219.694,21.936,69.115
1402,219.685,21.857,69.067
1450,219.641,21.794,68.948
1484,219.699,21.837,68.985
1507,219.64,21.846,69.074
1551,219.614,21.91,69.009
1583,219.747,21.991,69.003
1611,219.511,21.795,68.888
1641,219.341,21.778,68.648
1692,219.261,21.726,68.604
1732,219.105,21.499,68.51
1752,219.09,21.507,68.477
1788,218.949,21.485,68.492
1815,218.947,21.497,68.48
1841,218.846,21.475,68.434
1888,218.973,21.633,68.602
1920,219.227,21.916,68.578
1954,219.491,22.281,68.828
2011,219.616,22.496,68.993
2044,219.539,22.547,68.936
2055,219.345,22.468,68.821
2092,219.358,22.491,68.813
2136,219.379,22.434,68.821
2149,219.264,22.289,68.673
2192,219.074,22.032,68.533
2241,218.625,21.642,68.344
2244,218.089,21.219,67.956
2293,217.921,20.99,67.847
2325,217.923,20.98,67.79
2363,217.569,20.656,67.634
2401,217.551,20.596,67.566
2456,217.725,20.664,67.575
2486,217.783,20.624,67.656
2526,217.799,20.627,67.573
2553,217.807,20.601,67.601
2593,218.085,20.706,67.738
2619,218.229,20.796,67.836
2643,218.647,21.038,68.219
2671,218.784,21.168,68.342
2700,218.812,21.294,68.251
2739,218.983,21.416,68.354
2771,219.11,21.434,68.454
2821,219.321,21.632,68.566
2847,219.715,21.954,68.815
2892,219.897,22.156,68.963
2918,220.084,22.383,69.098
2959,219.954,22.352,68.973
2993,219.274,21.816,68.711
3023,219.031,21.535,68.617
3066,218.98,21.464,68.396
3096,219.038,21.452,68.407
3103,219.172,21.574,68.454
3144,219.289,21.623,68.546
3189,219.445,21.683,68.812
3237,219.573,21.782,68.858
3266,219.844,21.964,68.906
3281,219.916,22.042,68.991
3331,219.99,22.114,69.043
3336,220.111,22.185,69.119
3368,220.24,22.354,69.19
3407,220.279,22.445,69.228
3433,220.193,22.488,69.307
3476,220.266,22.529,69.294
3503,220.259,22.491,69.32
3545,220.356,22.556,69.45
3572,220.605,22.792,69.532
3607,220.597,22.837,69.537
3638,220.444,22.709,69.382
3677,220.572,22.785,69.499
3708,220.634,22.786,69.576
3745,220.732,22.887,69.664
3779,220.837,22.937,69.81
3810,220.523,22.724,69.621
3842,219.91,22.182,69.151
3882,219.524,21.785,68.949
3909,219.39,21.627,68.765
3938,219.363,21.6,68.737
3975,219.364,21.698,68.606
4012,219.353,21.592,68.622
4051,219.468,21.636,68.726
4079,219.538,21.617,68.771
4110,219.556,21.557,68.724
4137,219.648,21.609,68.808
4177,219.75,21.678,69.022
4209,219.652,21.672,68.938
4248,219.693,21.741,68.915
4291,219.67,21.734,68.872
4327,219.838,21.748,68.965
4354,220.0,21.878,69.037
4394,220.137,22.114,69.101
4421,220.39,22.309,69.222
4460,220.814,22.532,69.62
4488,221.158,22.863,69.869
4530,221.595,23.265,70.155
4558,222.108,23.696,70.488
4562,222.893,24.375,71.079
4624,223.873,25.395,71.866
4626,224.865,26.545,72.306
4688,225.72,27.509,72.943
4692,226.668,28.51,73.9
4756,227.212,29.309,74.55
4796,227.523,29.546,74.82
4823,228.222,30.196,75.449
4863,228.58,30.667,75.983
4894,229.296,31.601,76.569
4898,230.009,32.687,77.013
4964,230.395,33.379,77.35
5023,230.822,34.298,77.92
5030,230.871,34.509,78.084
5094,230.831,34.467,78.004
5157,231.062,34.601,78.213
5222,231.385,35.208,78.442
5227,231.561,35.663,78.549
5297,231.686,35.946,78.727
5324,231.898,36.246,78.806
5330,231.779,36.241,78.64
5390,231.371,35.777,78.342
5394,231.159,35.344,78.083
5463,231.214,35.371,78.037
5473,231.318,35.545,78.162
5508,231.181,35.403,78.16
5551,230.744,34.67,77.893
5584,230.395,33.826,77.601
5613,230.334,33.415,77.5
5647,230.593,33.583,77.863
5677,230.889,34.034,78.157
5717,231.201,34.561,78.38
5755,231.385,34.964,78.535
5826,231.425,35.405,78.479
5830,231.378,35.354,78.47
5912,231.241,35.144,78.322
5913,231.183,34.999,78.226
5959,231.278,35.136,78.228
5993,231.423,35.325,78.526
5997,231.633,35.732,78.707
6064,231.864,36.17,78.739
6072,232.051,36.552,78.915
6120,232.375,37.169,79.048
6152,232.608,37.622,79.265
6184,232.859,38.125,79.372
6217,233.004,38.514,79.499
6249,233.13,38.791,79.574
6282,233.247,39.106,79.641
6316,233.179,39.101,79.636
6350,233.197,39.207,79.642
6386,233.38,39.559,79.648
6421,233.383,39.684,79.686
6452,232.729,38.924,79.324
6477,231.731,37.097,78.563
6516,230.702,35.035,77.812
6546,230.22,33.819,77.333
6583,229.99,33.273,77.259
6611,229.922,33.068,77.07
6649,229.954,32.995,77.021
6681,229.978,33.046,77.06
6718,230.172,33.337,77.075
6750,230.196,33.386,77.12
6788,230.099,33.327,76.983
6821,229.998,33.187,76.89
6859,229.992,33.181,76.825
