time,R,G,B
0,252.357,36.053,6.405
33,252.35,36.061,6.407
66,252.288,35.887,6.37
100,252.11,35.086,6.353
133,251.846,33.775,6.421
166,251.742,33.123,6.514
199,251.728,32.964,6.581
232,251.755,32.986,6.612
266,251.716,32.887,6.539
299,251.772,33.074,6.557
332,251.796,33.219,6.553
365,251.8,33.307,6.521
398,251.79,33.26,6.473
432,251.785,33.239,6.507
465,251.793,33.304,6.519
498,251.792,33.335,6.487
531,251.804,33.44,6.498
565,251.847,33.516,6.454
598,251.878,33.633,6.473
631,251.9,33.773,6.466
664,251.929,33.952,6.443
696,251.948,34.055,6.393
731,251.98,34.254,6.356
764,251.988,34.356,6.321
797,251.962,34.268,6.281
830,251.754,33.391,6.218
864,251.486,32.172,6.331
897,251.389,31.538,6.493
930,251.359,31.263,6.614
963,251.317,31.038,6.589
996,251.304,30.971,6.604
1030,251.35,31.088,6.654
1063,251.39,31.191,6.703
1096,251.382,31.2,6.666
1129,251.37,31.18,6.62
1163,251.366,31.166,6.651
1196,251.372,31.163,6.638
1229,251.384,31.205,6.626
1262,251.402,31.306,6.54
1294,251.427,31.475,6.529
1329,251.5,31.78,6.544
1362,251.546,31.996,6.515
1395,251.59,32.235,6.488
1428,251.595,32.363,6.409
1462,251.642,32.629,6.36
1495,251.614,32.671,6.231
1528,251.61,32.761,6.226
1561,251.475,32.336,6.207
1594,251.2,31.141,6.268
1628,251.023,30.093,6.447
1661,250.996,29.594,6.686
1694,250.925,29.123,6.801
1727,250.848,28.647,6.931
1761,250.813,28.345,7.052
1794,250.836,28.279,7.112
1827,250.802,28.104,7.18
1860,250.778,27.904,7.285
1892,250.735,27.658,7.311
1927,250.677,27.305,7.426
1960,250.577,26.851,7.468
1993,250.542,26.607,7.593
2026,250.541,26.464,7.711
2059,250.538,26.339,7.74
2093,250.506,26.255,7.775
2126,250.569,26.363,7.749
2159,250.606,26.47,7.797
2192,250.689,26.694,7.786
2226,250.749,26.875,7.802
2259,250.627,26.45,7.795
2292,250.402,25.626,7.904
2325,250.184,24.639,7.953
2392,250.08,23.557,8.482
2425,249.949,22.902,8.627
2458,249.857,22.379,8.799
2491,249.763,21.919,8.85
2525,249.7,21.576,9.035
2558,249.605,21.169,9.174
2591,249.492,20.717,9.225
2624,249.454,20.456,9.318
2657,249.405,20.209,9.366
2691,249.393,20.058,9.43
2723,249.405,20.025,9.553
2757,249.478,20.085,9.581
2790,249.638,20.402,9.696
2824,249.751,20.694,9.62
2857,249.938,21.25,9.556
2890,250.162,21.84,9.517
2923,250.32,22.424,9.462
2956,250.39,22.708,9.405
2990,250.28,22.392,9.356
3056,250.14,22.096,9.23
3089,250.173,22.415,9.129
3123,250.233,22.763,8.967
3156,250.282,23.066,8.824
3189,250.384,23.489,8.737
3222,250.433,23.816,8.617
3255,250.45,24.057,8.472
3289,250.512,24.354,8.426
3321,250.488,24.482,8.255
3355,250.503,24.676,8.133
3388,250.607,25.072,8.135
3422,250.669,25.383,8.022
3455,250.766,25.777,7.988
3488,250.865,26.168,7.974
3521,250.883,26.39,7.837
3554,250.898,26.626,7.746
3588,250.96,26.882,7.699
3621,250.985,27.134,7.658
3654,250.902,26.999,7.525
3687,250.697,26.563,7.452
3720,250.59,26.269,7.392
3754,250.572,26.21,7.357
3787,250.619,26.382,7.388
3820,250.668,26.572,7.305
3853,250.726,26.902,7.276
3887,250.765,27.134,7.182
3919,250.827,27.42,7.134
3953,250.812,27.571,7.017
3986,250.811,27.647,6.916
4019,250.796,27.751,6.812
4053,250.811,27.933,6.708
4086,250.815,28.168,6.545
4119,250.836,28.378,6.486
4152,250.824,28.541,6.317
4186,250.801,28.675,6.206
4219,250.803,28.889,6.079
4252,250.778,29.02,5.911
4285,250.775,29.195,5.819
4318,250.707,29.131,5.691
4352,250.491,28.704,5.58
4385,250.282,28.225,5.453
4418,250.226,28.147,5.408
4451,250.267,28.323,5.39
4485,250.293,28.534,5.31
4517,250.329,28.78,5.253
4551,250.436,29.144,5.202
4584,250.496,29.402,5.19
4617,250.499,29.524,5.096
4651,250.458,29.537,5.032
4684,250.44,29.63,4.998
4717,250.43,29.686,4.894
4750,250.449,29.831,4.853
4784,250.458,29.991,4.818
4817,250.473,30.129,4.765
4850,250.448,30.159,4.663
4883,250.395,30.122,4.614
4916,250.345,30.128,4.515
4950,250.367,30.293,4.497
4983,250.392,30.466,4.501
5016,250.309,30.385,4.386
5049,250.158,30.127,4.289
5083,249.949,29.708,4.201
5149,249.948,29.884,4.128
5182,250.048,30.192,4.113
5215,250.059,30.309,4.054
5249,250.158,30.653,4.082
5282,250.156,30.74,4.041
5315,250.192,30.872,4.006
5348,250.221,31.006,4.026
5381,250.22,31.052,4.006
5415,250.232,31.148,3.972
5448,250.302,31.31,3.952
5481,250.344,31.481,4.007
5514,250.364,31.558,3.978
5548,250.385,31.658,3.977
5581,250.387,31.75,3.956
5614,250.351,31.703,3.9
5647,250.37,31.785,3.895
5680,250.347,31.802,3.864
5714,250.305,31.767,3.853
5747,250.283,31.756,3.822
5780,250.147,31.427,3.776
5813,250.073,31.256,3.79
5847,250.086,31.316,3.76
5880,250.09,31.376,3.716
5913,250.106,31.441,3.697
5946,250.081,31.5,3.662
5979,250.147,31.705,3.678
6013,250.108,31.675,3.61
6046,250.075,31.683,3.563
6079,250.096,31.778,3.526
6112,250.069,31.823,3.532
6146,250.089,31.914,3.483
6179,250.075,31.988,3.469
6212,250.065,32.042,3.451
6245,250.074,32.095,3.399
6278,250.085,32.184,3.381
6312,250.062,32.247,3.376
6345,250.048,32.265,3.313
6378,250.068,32.409,3.296
6411,250.024,32.411,3.27
6445,249.873,32.184,3.172
6478,249.728,31.87,3.121
6511,249.635,31.712,3.092
6544,249.64,31.787,3.102
6577,249.695,31.963,3.079
6611,249.703,32.05,3.026
6644,249.723,32.185,3.034
6677,249.77,32.338,2.991
6710,249.804,32.499,3.015
6744,249.787,32.508,2.984
6777,249.766,32.558,2.989
6810,249.719,32.51,2.933
6843,249.718,32.526,2.931
6876,249.755,32.688,2.914
6910,249.733,32.663,2.884
6943,249.753,32.758,2.864
6976,249.743,32.802,2.854
7009,249.71,32.76,2.83
7042,249.708,32.816,2.816
7076,249.755,32.978,2.814
7109,249.75,33.015,2.81
7142,249.754,33.058,2.767
7175,249.677,32.989,2.763
7209,249.5,32.634,2.699
7242,249.411,32.451,2.699
7275,249.392,32.417,2.676
7308,249.421,32.555,2.675
7341,249.453,32.651,2.638
7408,249.473,32.76,2.609
7441,249.482,32.835,2.614
7473,249.487,32.896,2.615
7508,249.463,32.873,2.589
7541,249.441,32.877,2.577
7574,249.436,32.865,2.531
7607,249.42,32.878,2.556
7640,249.452,32.925,2.52
