time,R,G,B
0,234.478,1.908,34.278
34,234.843,2.317,34.788
67,234.378,2.28,34.358
100,233.941,2.041,33.736
134,233.953,2.08,33.811
167,234.068,2.05,33.858
200,233.553,1.876,33.462
234,234.365,2.164,34.292
267,234.348,2.243,34.328
300,233.965,2.229,34.166
334,233.874,2.115,33.876
367,233.856,2.054,33.835
400,234.039,2.144,34.126
434,234.113,2.236,34.274
467,233.801,2.367,34.196
500,233.871,2.669,34.622
534,207.376,0.917,21.476
567,207.364,1.079,21.892
600,207.217,1.157,21.975
634,213.078,1.65,25.069
667,211.223,1.306,23.523
700,211.346,1.326,23.562
734,211.101,1.145,23.218
767,210.838,0.966,22.853
800,210.688,0.876,22.667
834,210.68,0.827,22.59
867,210.649,0.788,22.514
900,210.649,0.755,22.436
934,210.671,0.716,22.382
967,210.749,0.708,22.404
1000,210.696,0.675,22.308
1034,210.701,0.66,22.277
1067,210.803,0.647,22.328
1100,210.939,0.637,22.349
1134,211.027,0.607,22.307
1167,210.965,0.557,22.107
1200,211.175,0.532,22.207
1234,211.469,0.571,22.411
1267,211.257,0.574,22.217
1300,210.796,0.554,21.887
1334,210.468,0.522,21.693
1367,210.466,0.503,21.788
1400,210.473,0.483,21.818
1434,210.666,0.48,21.925
1467,210.946,0.504,22.122
1500,211.109,0.526,22.168
1533,211.234,0.533,22.189
1567,211.523,0.587,22.393
1600,211.686,0.631,22.511
1633,211.898,0.671,22.635
1667,212.161,0.727,22.807
1700,212.413,0.783,22.905
1733,212.569,0.771,22.854
1767,212.699,0.767,22.798
1800,212.799,0.743,22.716
1833,213.124,0.776,22.905
1867,213.199,0.783,22.877
1900,213.237,0.764,22.819
1933,213.292,0.748,22.786
1967,213.287,0.724,22.723
2000,213.195,0.709,22.618
2033,212.799,0.696,22.36
2067,212.511,0.699,22.296
2100,212.717,0.752,22.609
2133,212.938,0.812,22.844
2167,213.131,0.849,22.978
2200,213.187,0.852,22.935
2233,213.398,0.901,23.049
2267,213.555,0.936,23.11
2300,213.705,0.949,23.165
2333,213.967,1.02,23.352
2367,213.884,1.033,23.206
2400,213.722,1.024,23.032
2433,213.618,1.041,22.994
2467,213.284,1.007,22.728
2500,213.242,1.019,22.762
2533,213.373,1.08,22.953
2567,213.287,1.08,22.877
2600,213.219,1.065,22.814
2633,213.155,1.062,22.739
2667,213.35,1.102,22.913
2700,213.433,1.099,22.897
2733,213.448,1.09,22.802
2767,213.182,1.041,22.489
2800,212.635,0.978,22.051
2833,212.052,0.91,21.648
2867,211.99,0.912,21.729
2900,211.647,0.86,21.491
2933,211.575,0.822,21.46
2967,211.622,0.813,21.503
3000,211.601,0.81,21.5
3033,211.56,0.778,21.415
3067,211.797,0.795,21.565
3100,211.743,0.775,21.459
3133,211.729,0.754,21.401
3167,211.676,0.726,21.305
3200,211.861,0.749,21.448
3233,211.968,0.735,21.468
3267,211.782,0.67,21.205
3300,211.927,0.681,21.327
3333,212.009,0.699,21.408
3367,212.037,0.717,21.438
3400,212.159,0.764,21.567
3433,212.347,0.835,21.778
3467,212.473,0.906,21.871
3500,212.406,0.917,21.76
3533,212.223,0.897,21.583
3567,212.011,0.885,21.425
3600,211.502,0.856,21.113
3633,211.168,0.855,21.041
3667,211.022,0.855,21.083
3700,210.885,0.816,21.045
3733,210.75,0.774,20.93
3767,210.682,0.742,20.876
3800,210.581,0.711,20.8
3833,210.546,0.691,20.807
3867,210.511,0.67,20.773
3900,210.407,0.664,20.719
3933,210.336,0.659,20.697
3967,210.311,0.649,20.701
4000,210.322,0.637,20.703
4033,210.241,0.609,20.609
4066,210.331,0.614,20.674
4100,210.52,0.645,20.868
4133,210.807,0.743,21.203
4166,210.733,0.774,21.165
4200,210.6,0.77,21.041
4233,210.534,0.767,20.969
4266,210.453,0.737,20.836
4300,210.479,0.718,20.778
4333,210.482,0.675,20.706
4366,210.533,0.644,20.696
4400,210.691,0.637,20.769
4433,210.475,0.613,20.595
4466,210.099,0.607,20.411
4500,209.875,0.597,20.391
4533,209.809,0.602,20.477
4566,209.849,0.618,20.588
4600,209.682,0.625,20.466
4633,209.584,0.639,20.441
4666,209.752,0.713,20.716
4700,209.786,0.8,20.849
4733,209.701,0.848,20.865
4766,209.605,0.865,20.799
4800,209.59,0.858,20.708
4833,209.556,0.764,20.334
4866,209.79,0.665,20.047
4900,210.375,0.704,20.366
4933,211.034,0.871,21.19
4966,211.086,1.016,21.565
5000,211.092,1.127,21.758
5033,211.278,1.213,21.937
5066,211.612,1.291,22.071
5100,212.051,1.362,22.211
5133,212.305,1.384,22.166
5166,212.232,1.312,21.846
5200,211.978,1.189,21.446
5233,211.691,1.129,21.169
5266,211.144,1.047,20.713
5300,211.092,1.018,20.716
5333,211.377,1.069,21.016
5366,211.642,1.135,21.343
5400,211.471,1.086,21.3
5433,211.483,1.095,21.415
5466,211.541,1.081,21.484
5500,211.82,1.129,21.695
5533,211.984,1.15,21.764
5566,212.108,1.203,21.882
5600,212.317,1.326,22.158
5633,212.517,1.483,22.442
5666,212.715,1.66,22.689
5700,212.943,1.837,22.951
5733,213.016,1.944,23.024
5766,213.055,2.043,23.088
5800,212.882,2.03,22.921
5833,212.889,2.064,22.963
5866,212.912,2.119,23.023
5900,213.005,2.187,23.135
5933,212.999,2.2,23.123
5966,212.826,2.111,22.913
6000,212.605,1.969,22.646
6033,212.262,1.79,22.271
6066,211.998,1.661,22.024
6100,211.696,1.62,21.841
6133,211.689,1.682,22.023
6166,211.683,1.758,22.158
6200,211.566,1.74,22.096
6233,211.247,1.638,21.757
6266,211.221,1.622,21.699
6300,211.58,1.767,22.071
6333,211.76,1.869,22.237
6366,211.837,1.923,22.315
6400,212.027,2.023,22.524
6433,212.076,2.061,22.555
6466,212.112,2.073,22.57
6500,212.177,2.07,22.634
6533,212.288,2.103,22.725
6566,212.376,2.111,22.764
6599,212.315,2.045,22.623
6633,212.099,1.901,22.349
6666,211.86,1.778,22.084
6699,211.639,1.651,21.828
6733,211.616,1.578,21.755
6766,211.879,1.63,21.994
6799,211.915,1.652,22.048
6833,212.082,1.738,22.311
6866,211.905,1.765,22.285
6899,211.452,1.688,21.932
6933,211.045,1.624,21.65
6966,210.351,1.505,21.124
6999,209.742,1.419,20.733
7033,209.463,1.345,20.484
7066,209.76,1.309,20.501
7099,210.005,1.305,20.513
7133,210.116,1.337,20.623
7166,210.315,1.484,21.122
7199,209.93,1.49,21.128
7233,209.445,1.383,20.857
7266,209.598,1.372,21.004
7299,209.727,1.408,21.029
7333,209.822,1.43,21.03
7366,209.852,1.459,21.07
7399,209.718,1.467,21.029
7433,209.717,1.492,21.138
7466,209.692,1.504,21.15
7499,209.629,1.478,21.09
7533,209.78,1.501,21.196
7566,210.014,1.548,21.29
7599,210.118,1.562,21.278
7633,210.259,1.59,21.331
7666,210.329,1.553,21.237
7699,210.514,1.56,21.216
7733,210.7,1.658,21.439
7766,210.463,1.674,21.424
7799,209.847,1.523,21.007
7833,209.5,1.43,20.786
7866,209.78,1.468,21.064
7899,210.534,1.66,21.647
7933,211.197,1.84,22.025
7966,211.468,1.875,22.05
7999,211.223,1.787,21.713
8033,210.825,1.627,21.3
8066,210.834,1.571,21.272
8099,210.949,1.585,21.353
8133,210.942,1.6,21.33
8166,211.03,1.659,21.444
8199,211.071,1.674,21.547
8233,211.404,1.797,21.933
8266,211.429,1.839,22.01
8299,211.49,1.853,22.053
8333,211.389,1.809,21.885
8366,211.246,1.717,21.71
8399,211.059,1.605,21.535
8433,210.811,1.456,21.268
8466,210.72,1.369,21.159
8499,210.764,1.331,21.172
8533,210.874,1.318,21.263
8566,211.411,1.43,21.754
8599,211.643,1.51,21.912
8633,211.239,1.407,21.454
8666,209.68,0.976,20.006
8699,209.199,0.741,19.722
8733,209.257,0.645,19.88
8766,210.015,0.659,20.526
8799,210.789,0.75,21.052
8833,211.359,0.836,21.303
8866,211.866,0.915,21.525
8899,212.687,1.132,22.063
8933,212.793,1.18,21.966
8966,213.118,1.34,22.145
8999,213.297,1.436,22.236
9033,214.747,2.124,23.549
9066,214.675,2.141,23.309
9099,214.883,2.181,23.323
9132,214.899,2.119,23.122
9166,214.972,2.046,22.99
9199,215.241,2.051,23.056
9232,215.764,2.167,23.383
9266,216.235,2.344,23.681
9299,216.503,2.469,23.802
9332,216.594,2.534,23.806
9366,216.804,2.637,23.962
9399,217.029,2.726,24.097
9432,217.152,2.78,24.141
9466,216.894,2.652,23.846
9499,216.039,2.255,23.04
9532,215.138,1.952,22.345
9566,214.606,1.836,22.158
9599,214.502,1.846,22.38
9632,214.582,1.904,22.647
9666,214.511,1.911,22.688
9699,214.33,1.837,22.561
9732,214.134,1.759,22.405
9766,214.155,1.734,22.444
9799,214.225,1.735,22.468
9832,214.049,1.679,22.256
9866,213.955,1.638,22.161
9899,213.892,1.602,22.129
9932,214.178,1.686,22.425
9966,214.439,1.777,22.651
9999,214.515,1.813,22.671
10032,214.668,1.857,22.757
10066,214.972,1.96,22.968
10099,215.118,2.026,23.004
10132,215.161,2.035,22.969
10166,214.996,1.954,22.742
10199,215.185,2.004,22.904
10232,215.252,2.013,22.925
10266,215.252,1.97,22.868
10299,215.093,1.863,22.645
10332,215.034,1.819,22.559
10366,214.595,1.717,22.237
10399,213.966,1.628,21.871
10432,213.778,1.635,21.955
10466,213.752,1.67,22.115
10499,213.852,1.716,22.288
10532,213.973,1.771,22.415
10566,214.017,1.81,22.457
10599,214.083,1.84,22.497
10632,214.09,1.852,22.477
10666,214.014,1.828,22.393
10699,213.957,1.796,22.304
10732,214.041,1.803,22.339
10766,214.02,1.782,22.284
10799,213.871,1.666,22.087
10832,213.644,1.508,21.811
10866,213.491,1.35,21.62
10899,213.625,1.289,21.702
10932,213.87,1.268,21.848
10966,214.107,1.283,21.973
10999,214.334,1.338,22.121
11032,214.534,1.39,22.231
11066,214.746,1.441,22.375
11099,214.838,1.488,22.409
11132,214.837,1.497,22.369
11166,214.804,1.474,22.301
11199,214.701,1.431,22.175
11232,214.483,1.377,21.991
11266,214.064,1.35,21.705
11299,213.821,1.39,21.718
11332,213.689,1.416,21.783
11366,213.632,1.398,21.804
11399,213.623,1.364,21.781
11432,213.87,1.436,22.011
11466,213.934,1.469,22.039
11499,214.006,1.484,22.072
11532,213.997,1.492,22.018
11566,213.971,1.475,21.984
11599,213.925,1.476,21.972
11632,213.805,1.422,21.84
11666,213.82,1.379,21.81
11699,214.126,1.453,22.085
11732,214.337,1.527,22.239
11765,214.39,1.526,22.236
11799,214.398,1.511,22.178
11832,214.413,1.492,22.136
11865,214.387,1.481,22.103
11899,214.286,1.439,22.038
11932,214.079,1.357,21.819
11965,214.163,1.325,21.835
11999,214.213,1.283,21.788
12032,214.331,1.281,21.858
12065,214.316,1.258,21.835
12099,214.196,1.245,21.747
12132,213.884,1.224,21.545
12165,213.453,1.221,21.341
12199,213.149,1.219,21.295
12232,213.116,1.237,21.427
12265,213.157,1.254,21.53
12299,213.095,1.25,21.517
12332,213.093,1.242,21.549
12365,213.294,1.299,21.722
12399,213.366,1.348,21.784
12432,213.343,1.375,21.777
12465,213.328,1.39,21.768
12499,213.452,1.443,21.923
