time,R,G,B
0,168.529,18.162,0.0
33,169.046,18.453,0.0
66,169.261,18.597,0.0
100,169.559,18.832,0.0
133,169.914,19.092,0.0
166,170.029,19.23,0.0
200,170.0,19.193,0.0
233,169.812,19.045,0.0
266,169.79,18.985,0.0
300,169.861,19.007,0.0
333,169.774,19.022,0.0
366,169.465,18.882,0.0
400,169.007,18.664,0.0
433,168.756,18.498,0.0
466,168.792,18.482,0.0
499,168.817,18.493,0.0
533,168.689,18.482,0.0
566,167.214,17.65,0.0
599,165.122,16.348,0.0
633,163.674,15.444,0.0
666,163.324,15.306,0.0
699,163.772,15.517,0.0
733,163.634,15.443,0.0
766,162.6,15.019,0.0
799,161.872,14.6,0.0
833,161.528,14.424,0.0
866,161.65,14.43,0.0
899,161.708,14.509,0.0
931,161.898,14.637,0.0
966,162.449,14.989,0.0
999,163.961,15.738,0.0
1032,165.372,16.735,0.0
1066,166.449,17.422,0.0
1099,167.977,18.071,0.0
1132,168.773,18.686,0.0
1166,168.663,18.844,0.0
1199,168.855,19.01,0.0
1232,168.715,19.028,0.0
1265,167.736,18.555,0.0
1299,166.849,17.984,0.0
1332,166.181,17.524,0.0
1365,164.888,16.652,0.0
1399,163.232,15.426,0.0
1431,162.337,14.685,0.0
1465,162.187,14.68,0.0
1499,162.487,14.828,0.0
1532,162.622,14.904,0.0
1565,162.703,14.935,0.0
1598,162.957,15.086,0.0
1632,163.354,15.326,0.0
1665,163.627,15.563,0.0
1698,163.503,15.563,0.0
1732,163.468,15.552,0.0
1765,163.443,15.568,0.0
1798,163.572,15.663,0.0
1832,163.854,15.851,0.0
1865,164.175,16.073,0.0
1898,164.419,16.277,0.0
1931,164.602,16.412,0.0
1965,164.788,16.564,0.0
1998,164.981,16.727,0.0
2032,165.068,16.836,0.0
2065,165.257,16.816,0.0
2098,165.342,16.895,0.0
2131,165.581,17.074,0.0
2165,165.805,17.22,0.0
2198,166.063,17.422,0.0
2231,166.312,17.592,0.0
2265,166.448,17.724,0.0
2298,166.588,17.85,0.0
2331,166.828,18.028,0.0
2365,166.84,18.148,0.0
2398,165.87,17.596,0.0
2431,164.743,16.693,0.0
2465,164.173,16.112,0.0
2498,164.284,16.282,0.0
2531,164.801,16.581,0.0
2564,164.966,16.745,0.0
2598,165.056,16.801,0.0
2631,165.339,16.789,0.0
2664,165.638,17.01,0.0
2698,165.736,17.137,0.0
2731,165.773,17.221,0.0
2764,165.673,17.178,0.0
2798,165.678,17.196,0.0
2831,165.807,17.271,0.0
2864,166.001,17.44,0.0
2897,166.241,17.63,0.0
2931,166.406,17.78,0.0
2964,166.489,17.894,0.0
2997,166.637,18.017,0.0
3031,166.742,18.147,0.0
3064,166.843,18.265,0.0
3097,166.915,18.337,0.0
3131,167.059,18.43,0.0
3164,167.185,18.561,0.0
3197,167.446,18.729,0.0
