time,R,G,B
0,168.441,57.09,22.687
33,168.779,57.452,22.636
67,168.91,57.6,22.507
100,168.689,57.48,22.236
133,168.639,57.507,22.147
167,168.639,57.593,22.111
200,168.574,57.593,22.031
233,168.468,57.564,21.941
267,168.435,57.598,21.867
300,168.449,57.707,21.844
333,168.492,57.822,21.809
367,168.111,57.428,21.644
400,165.919,55.073,21.576
433,163.875,53.179,22.001
467,163.098,52.51,21.987
500,162.97,52.416,21.919
533,162.829,52.295,21.868
566,162.713,52.109,21.818
600,162.212,51.664,21.647
633,162.04,51.573,21.524
666,162.185,51.7,21.462
700,162.119,51.642,21.405
733,162.334,51.779,21.416
766,162.194,51.616,21.305
800,162.003,51.448,21.105
833,161.935,51.407,20.979
866,161.987,51.5,20.935
900,162.23,51.77,21.001
933,162.47,52.003,21.018
966,162.708,52.283,21.058
1000,163.232,52.795,21.228
1033,163.648,53.186,21.259
1066,163.766,53.304,21.141
1100,163.656,53.245,20.93
1133,163.798,53.435,20.913
1166,163.927,53.595,20.893
1199,163.865,53.599,20.737
1233,163.649,53.505,20.543
1266,163.646,53.596,20.498
1299,162.233,52.086,20.065
1333,160.435,50.291,20.494
1366,159.868,49.747,20.825
1399,159.849,49.694,20.885
1433,159.97,49.774,20.892
1466,159.778,49.577,20.779
1499,159.758,49.49,20.769
1533,159.713,49.441,20.695
1566,159.762,49.486,20.656
1599,159.716,49.422,20.62
1633,159.416,49.141,20.462
1666,159.369,49.109,20.502
1699,159.511,49.243,20.58
1733,159.822,49.547,20.733
1766,160.244,49.941,20.869
1799,160.68,50.319,20.995
1833,161.247,50.833,21.23
1866,161.82,51.315,21.417
1899,161.497,50.989,21.12
1932,160.099,49.813,20.451
1966,160.108,50.02,20.749
1999,162.03,51.589,21.803
2032,162.339,51.774,21.822
2066,162.638,51.969,21.868
2099,162.625,51.885,21.897
2132,161.588,50.744,21.68
2166,160.754,49.717,21.686
2199,160.469,49.216,21.838
2232,159.652,48.443,21.702
2266,158.655,47.493,21.471
2299,156.708,45.864,21.062
2332,154.988,44.559,20.775
2366,154.052,43.759,20.537
2399,152.329,42.472,20.043
2432,151.886,42.047,20.087
2466,151.697,41.778,20.123
2499,152.263,42.09,20.431
2532,152.972,42.408,20.665
2565,153.434,42.694,20.896
2599,154.054,43.0,21.075
2632,154.365,43.188,21.245
2665,154.483,43.173,21.312
2699,155.307,43.719,21.634
2732,156.414,44.497,22.074
2765,157.734,45.395,22.551
2799,157.706,45.187,22.433
2832,155.587,43.551,21.61
2865,154.663,43.002,21.429
2899,154.961,43.174,21.562
2932,154.743,42.958,21.484
2965,154.163,42.359,21.367
2999,153.459,41.497,21.332
3032,152.464,40.409,21.207
3065,151.437,39.502,21.043
3099,150.975,39.001,21.014
3132,150.576,38.585,20.991
3165,151.014,38.714,21.31
3198,151.741,39.076,21.722
3232,151.446,38.638,21.505
3265,150.65,37.939,21.148
3298,150.607,37.83,21.278
3332,150.436,37.59,21.291
3365,150.288,37.375,21.285
3398,150.053,37.118,21.235
3432,149.725,36.826,21.143
3465,149.075,36.312,20.853
3498,148.88,36.196,20.921
3532,148.411,35.847,20.725
3565,148.436,35.907,20.892
3598,148.791,36.177,21.157
3632,149.21,36.469,21.4
3665,149.631,36.731,21.558
3698,149.301,36.402,21.27
3732,149.156,36.303,21.211
3765,149.028,36.211,21.148
3798,148.805,36.038,21.076
3831,148.113,35.364,20.83
3865,147.385,34.619,20.711
3898,147.024,34.21,20.826
3931,146.766,33.888,20.892
3965,146.265,33.425,20.791
3998,145.941,33.146,20.8
4031,146.202,33.274,21.102
4065,146.031,33.054,21.071
4098,145.256,32.429,20.677
4131,144.478,31.882,20.43
4165,144.093,31.663,20.438
4198,144.116,31.675,20.62
4231,143.954,31.537,20.591
4265,144.053,31.608,20.716
4298,143.951,31.522,20.686
4331,143.73,31.366,20.57
4365,143.694,31.367,20.592
4398,143.676,31.374,20.614
4431,143.671,31.368,20.624
4464,143.798,31.463,20.677
4498,143.729,31.421,20.635
4531,143.799,31.494,20.672
4564,144.025,31.671,20.774
4598,143.929,31.585,20.684
4631,143.526,31.243,20.5
4664,142.754,30.543,20.194
4698,142.02,29.93,20.032
4731,142.012,29.916,20.311
4764,141.86,29.759,20.324
4798,141.603,29.556,20.266
4831,141.307,29.322,20.227
4864,141.268,29.291,20.321
4898,141.124,29.184,20.278
4931,140.863,29.002,20.197
4964,140.71,28.893,20.184
4998,140.295,28.582,19.997
5031,140.04,28.46,19.976
5064,140.397,28.78,20.273
5097,140.37,28.732,20.21
5131,139.913,28.403,19.917
5164,139.656,28.291,19.833
5197,139.622,28.338,19.876
5231,139.642,28.385,19.921
5264,139.751,28.472,19.978
5297,139.573,28.371,19.861
5331,139.82,28.598,20.018
5364,140.02,28.734,20.109
5397,139.461,28.236,19.797
5431,138.783,27.654,19.542
5464,138.447,27.381,19.581
5497,138.374,27.304,19.706
5531,138.374,27.3,19.804
5564,138.187,27.133,19.781
5597,138.258,27.17,19.88
5631,138.347,27.219,19.973
5664,138.274,27.154,19.941
5697,138.139,27.042,19.891
5730,138.068,26.985,19.863
5764,137.807,26.81,19.774
5797,137.948,26.954,19.901
5830,138.061,27.038,19.947
5864,138.186,27.145,20.007
5897,138.388,27.296,20.089
5930,138.341,27.251,20.0
5964,138.312,27.252,19.958
5997,138.525,27.431,20.064
6030,138.726,27.558,20.127
6064,138.762,27.57,20.056
6097,139.172,27.886,20.307
6130,139.231,27.902,20.234
6164,139.325,27.992,20.225
6197,139.484,28.118,20.274
6230,139.097,27.772,20.029
6264,138.59,27.335,19.834
6297,138.252,27.044,19.848
6330,138.236,27.022,19.967
6364,138.219,26.99,20.044
6397,138.096,26.883,20.044
6430,137.918,26.734,20.0
6463,137.84,26.677,20.008
6497,137.884,26.724,20.059
6530,137.98,26.79,20.136
6563,137.938,26.742,20.124
6597,137.875,26.693,20.102
6630,138.089,26.864,20.251
6663,138.097,26.841,20.215
6697,138.119,26.873,20.231
6730,138.256,26.984,20.279
6763,138.288,27.019,20.256
6797,138.303,27.034,20.233
6830,138.411,27.137,20.274
6863,138.532,27.227,20.298
6897,138.65,27.324,20.324
6930,138.77,27.414,20.343
6963,138.794,27.431,20.307
6997,138.855,27.508,20.299
7030,138.956,27.598,20.28
7063,138.977,27.645,20.277
7096,139.038,27.713,20.25
7130,139.156,27.825,20.294
7163,139.411,28.039,20.374
7196,139.509,28.125,20.354
7230,139.513,28.13,20.286
7263,139.106,27.761,20.109
7296,138.645,27.356,19.95
7330,138.452,27.209,19.999
7363,138.566,27.288,20.168
7396,138.589,27.289,20.245
7430,138.532,27.219,20.235
7463,138.421,27.107,20.178
7496,138.398,27.087,20.227
7530,138.383,27.092,20.241
7563,138.257,27.005,20.201
7596,138.095,26.897,20.15
7630,138.164,26.97,20.208
7663,138.135,26.945,20.193
7696,138.019,26.868,20.134
7729,137.929,26.848,20.069
7763,137.925,26.895,20.112
7796,137.869,26.878,20.083
7829,137.797,26.855,20.024
7863,137.904,26.967,20.087
7896,138.092,27.113,20.19
7929,138.222,27.217,20.204
7963,138.402,27.351,20.264
7996,138.477,27.395,20.253
8029,138.341,27.291,20.079
8063,138.246,27.28,20.038
8096,138.449,27.465,20.158
8129,138.453,27.471,20.098
8163,138.256,27.377,19.957
8196,138.48,27.587,20.075
8229,138.48,27.613,20.014
8263,138.226,27.423,19.872
8296,137.703,26.992,19.681
8329,137.531,26.826,19.749
8362,137.424,26.72,19.815
8396,137.496,26.78,19.921
8429,137.796,26.97,20.11
8462,137.697,26.85,20.041
8496,137.341,26.572,19.844
8529,137.209,26.509,19.811
8562,137.267,26.581,19.899
8596,137.295,26.602,19.947
8629,137.018,26.377,19.796
8661,136.796,26.244,19.686
8696,136.902,26.377,19.817
8729,137.007,26.462,19.853
8762,136.955,26.447,19.829
8796,137.056,26.561,19.871
8829,137.502,26.893,20.107
8862,137.611,26.909,20.078
8896,137.34,26.708,19.867
8929,137.252,26.697,19.84
8962,137.29,26.751,19.847
8995,137.308,26.783,19.849
9029,137.266,26.779,19.798
9062,137.273,26.826,19.788
9095,137.414,26.957,19.838
9129,137.245,26.855,19.702
9161,136.775,26.5,19.475
9195,136.199,26.036,19.256
9229,135.74,25.684,19.195
9262,135.438,25.503,19.196
9295,135.355,25.488,19.287
9329,135.364,25.506,19.368
9362,135.102,25.31,19.27
9394,134.931,25.224,19.247
9429,134.894,25.219,19.258
9462,134.772,25.153,19.219
9495,134.498,24.972,19.113
9529,134.362,24.898,19.098
9562,134.474,25.004,19.233
9595,134.463,25.014,19.242
9627,134.508,25.047,19.247
9661,134.539,25.092,19.236
9695,134.647,25.179,19.275
9728,134.682,25.203,19.266
9762,134.649,25.185,19.19
9795,134.639,25.209,19.206
9828,134.773,25.329,19.277
9862,134.757,25.311,19.22
9894,134.718,25.314,19.175
9928,134.698,25.323,19.133
9962,134.687,25.346,19.118
9995,134.533,25.266,18.996
10028,134.254,25.083,18.891
10062,133.695,24.622,18.69
10095,133.267,24.292,18.645
10127,133.213,24.244,18.785
10161,133.046,24.121,18.778
10195,132.968,24.07,18.82
10228,132.806,23.948,18.812
10261,132.614,23.828,18.784
10295,132.477,23.752,18.763
10328,132.397,23.703,18.735
10360,132.513,23.788,18.85
10394,132.45,23.726,18.809
10428,132.276,23.606,18.745
10461,132.368,23.705,18.819
10495,132.615,23.887,18.954
10528,132.66,23.899,18.932
10561,132.69,23.934,18.929
10595,132.703,23.942,18.892
10627,132.932,24.109,19.024
10661,132.902,24.065,18.928
10695,133.006,24.153,18.971
10728,133.085,24.206,18.975
10761,133.164,24.257,18.973
10795,133.165,24.279,18.936
10828,133.221,24.316,18.915
10860,133.341,24.441,18.968
10894,133.431,24.504,18.961
10928,133.217,24.309,18.816
10961,132.747,23.917,18.639
10994,132.601,23.769,18.709
11028,132.534,23.699,18.781
11061,132.486,23.646,18.829
11094,132.364,23.564,18.801
11127,132.347,23.535,18.844
11161,132.385,23.543,18.876
11194,132.112,23.358,18.754
11228,132.056,23.365,18.763
11261,131.844,23.234,18.678
11294,131.773,23.21,18.736
11328,131.66,23.144,18.714
11360,131.659,23.175,18.731
11394,131.888,23.362,18.87
11428,132.003,23.43,18.879
11461,131.838,23.297,18.739
11494,131.276,22.946,18.418
11528,131.201,22.994,18.472
11561,131.009,22.878,18.394
11594,130.522,22.612,18.167
11627,131.075,23.082,18.592
11661,131.872,23.606,18.995
11694,132.137,23.69,18.967
11727,132.108,23.615,18.846
11761,132.173,23.665,18.809
11794,132.18,23.68,18.758
11827,132.242,23.707,18.791
11860,131.798,23.29,18.57
11894,131.431,22.988,18.52
11927,131.228,22.827,18.522
11961,131.265,22.898,18.682
11994,131.734,23.198,18.968
12027,131.527,22.969,18.823
12061,131.182,22.741,18.674
12094,131.261,22.813,18.759
12127,131.336,22.863,18.793
12161,131.201,22.737,18.734
12194,130.764,22.457,18.542
12227,130.998,22.696,18.756
12260,131.3,22.893,18.891
12294,131.197,22.792,18.768
12327,130.96,22.647,18.624
12360,130.873,22.632,18.611
12394,131.138,22.86,18.792
12427,131.264,22.921,18.791
12460,130.971,22.727,18.586
12494,130.92,22.74,18.558
12527,131.207,22.972,18.736
12560,131.093,22.867,18.594
12594,130.597,22.557,18.331
12627,129.896,22.154,17.979
12660,129.854,22.271,18.106
12694,130.253,22.606,18.365
12727,130.382,22.635,18.424
12760,129.52,21.939,17.98
12794,129.222,21.746,17.987
12827,129.265,21.785,18.164
12860,129.428,21.873,18.296
12893,129.293,21.764,18.243
12927,129.189,21.676,18.228
12960,129.236,21.702,18.311
12993,129.135,21.635,18.263
13027,129.178,21.677,18.295
13060,129.22,21.711,18.352
13093,129.282,21.745,18.367
13127,129.269,21.722,18.341
13160,128.993,21.555,18.179
13193,128.745,21.427,18.068
13227,128.431,21.273,17.932
13260,128.7,21.537,18.179
13293,128.821,21.6,18.197
13327,128.69,21.52,18.104
13360,128.753,21.588,18.118
13393,128.951,21.73,18.231
13427,128.9,21.699,18.149
13460,129.187,21.906,18.269
13493,129.642,22.207,18.473
13526,129.976,22.391,18.558
13560,129.835,22.245,18.354
13593,129.635,22.146,18.213
13626,129.964,22.403,18.395
13660,129.565,22.062,18.141
13693,128.832,21.509,17.833
13726,128.519,21.334,17.85
13760,128.622,21.434,18.066
13793,128.477,21.325,18.038
13826,128.263,21.198,17.983
13860,128.162,21.153,17.981
13893,128.351,21.293,18.14
13926,128.438,21.346,18.194
13960,128.362,21.281,18.148
13993,128.501,21.367,18.205
14026,128.468,21.33,18.182
14060,128.542,21.373,18.225
14093,128.355,21.265,18.096
14126,128.425,21.344,18.139
14159,128.633,21.518,18.256
14193,128.686,21.543,18.226
14226,128.745,21.57,18.217
14259,128.843,21.653,18.245
14293,128.904,21.691,18.222
14326,128.907,21.697,18.2
14359,129.081,21.837,18.275
14393,129.111,21.862,18.221
14426,129.062,21.843,18.141
14459,129.291,22.022,18.216
14493,129.366,22.074,18.216
14526,129.32,22.045,18.165
14559,128.946,21.722,17.998
14593,128.377,21.288,17.767
14626,128.273,21.266,17.884
14659,128.275,21.291,17.992
14693,128.286,21.305,18.055
14726,128.091,21.173,17.964
14759,128.022,21.142,17.989
14793,128.077,21.208,18.041
14826,128.178,21.27,18.089
14859,128.102,21.196,18.051
14892,128.025,21.146,18.006
14926,128.117,21.228,18.068
14959,128.102,21.221,18.043
14992,128.084,21.229,18.014
15026,128.105,21.266,18.01
15059,128.042,21.234,17.953
15092,127.921,21.186,17.898
15126,127.95,21.224,17.925
15159,127.638,21.035,17.741
15192,127.554,21.036,17.754
15226,127.655,21.16,17.834
15259,127.854,21.293,17.92
15292,128.055,21.436,17.992
15326,127.999,21.361,17.907
15359,127.6,21.015,17.721
15392,127.375,20.857,17.708
15426,127.352,20.836,17.761
15459,127.386,20.892,17.823
15492,127.496,20.966,17.919
15525,127.449,20.892,17.873
15559,127.391,20.873,17.84
15592,127.468,20.937,17.899
15625,127.535,20.986,17.919
15659,127.607,21.019,17.919
15692,127.467,20.918,17.847
15725,127.356,20.871,17.796
15759,127.417,20.942,17.859
15792,127.372,20.913,17.809
15825,127.399,20.964,17.814
15859,127.477,21.048,17.858
15892,127.612,21.136,17.881
15925,127.539,21.098,17.8
15959,127.541,21.122,17.794
15992,127.747,21.282,17.896
16025,127.973,21.416,17.972
16059,128.011,21.453,17.924
16092,128.186,21.566,17.976
16125,128.333,21.652,18.015
16158,127.942,21.334,17.785
16192,127.343,20.894,17.524
16225,127.053,20.724,17.535
16258,127.135,20.826,17.712
16292,127.027,20.752,17.687
16325,126.708,20.544,17.558
16358,126.591,20.482,17.575
16392,126.569,20.499,17.623
16425,126.613,20.546,17.676
16458,126.481,20.459,17.572
16492,126.554,20.526,17.676
16525,126.541,20.521,17.631
16558,126.577,20.559,17.666
16592,126.558,20.544,17.627
16625,126.64,20.625,17.661
16658,126.649,20.642,17.627
16692,126.747,20.726,17.655
16725,126.736,20.731,17.621
16758,126.718,20.726,17.573
16791,126.83,20.833,17.625
16825,126.99,20.952,17.693
16858,127.033,20.972,17.663
16891,127.021,20.983,17.608
16925,127.182,21.115,17.673
16958,127.205,21.135,17.625
16991,127.273,21.194,17.646
17025,127.367,21.252,17.674
17058,127.148,21.03,17.556
17091,126.844,20.753,17.474
17125,126.573,20.557,17.424
17158,126.543,20.561,17.51
17191,126.568,20.591,17.586
17225,126.429,20.491,17.539
17258,126.166,20.315,17.413
17291,126.099,20.304,17.444
17325,126.035,20.288,17.429
17358,125.952,20.269,17.417
17391,125.996,20.32,17.464
17424,126.079,20.377,17.496
17458,126.18,20.438,17.522
17491,126.107,20.401,17.46
17524,126.191,20.477,17.496
17558,126.31,20.571,17.52
17591,126.325,20.582,17.514
17624,126.259,20.553,17.435
17658,126.188,20.531,17.373
17691,126.119,20.512,17.318
17724,125.986,20.46,17.253
17758,125.759,20.336,17.137
17791,125.053,19.913,16.79
17824,124.403,19.585,16.571
17858,123.688,19.241,16.368
17891,122.805,18.745,16.083
17924,122.181,18.443,16.063
17958,122.065,18.436,16.229
17991,121.925,18.394,16.298
18024,121.994,18.475,16.431
18057,121.94,18.452,16.423
18091,121.752,18.324,16.358
18124,121.787,18.368,16.423
18157,121.79,18.378,16.436
18191,121.678,18.296,16.38
18224,121.632,18.281,16.391
18257,121.748,18.374,16.486
18291,121.76,18.362,16.487
18324,121.798,18.404,16.485
18357,121.917,18.476,16.511
18391,122.026,18.543,16.568
18424,122.129,18.599,16.581
18457,122.159,18.61,16.543
18491,122.382,18.756,16.643
18524,122.483,18.808,16.662
18557,122.657,18.904,16.692
18591,122.892,19.051,16.777
18624,123.084,19.157,16.803
18657,123.177,19.178,16.81
18691,122.893,18.916,16.635
18724,122.587,18.679,16.553
18757,122.485,18.614,16.577
18790,122.621,18.714,16.732
18824,122.624,18.702,16.729
18857,122.592,18.669,16.739
18890,122.566,18.651,16.737
18924,122.582,18.664,16.739
18957,122.65,18.715,16.779
18990,122.87,18.845,16.904
19024,122.894,18.809,16.862
19057,122.805,18.747,16.803
19090,122.902,18.815,16.86
19124,123.033,18.894,16.916
19157,123.043,18.889,16.877
19190,122.971,18.848,16.825
19224,123.157,18.982,16.944
19257,123.125,18.947,16.844
19290,123.055,18.921,16.83
19324,123.193,19.026,16.881
19357,123.223,19.053,16.884
19390,123.193,19.027,16.802
19423,123.406,19.215,16.931
19457,123.586,19.306,16.96
19490,123.386,19.158,16.794
19523,123.166,19.021,16.7
19557,122.745,18.694,16.55
19590,122.684,18.641,16.652
19623,122.588,18.572,16.683
19657,122.277,18.372,16.564
