time,R,G,B
0,254.891,54.707,0.0
33,254.873,54.101,0.0
65,254.952,57.081,0.0
100,254.987,64.034,0.0
133,254.979,64.847,0.0
166,254.956,60.337,0.0
199,254.97,58.594,0.0
233,254.982,60.799,0.0
266,254.987,61.94,0.0
299,254.964,60.878,0.0
333,254.939,57.284,0.0
366,254.934,56.619,0.0
399,254.894,55.216,0.0
433,254.822,51.486,0.0
466,254.832,50.352,0.0
499,254.8,50.4,0.0
532,254.712,46.421,0.0
565,254.641,42.548,0.0
599,254.634,41.4,0.0
632,254.611,40.971,0.0
666,254.647,41.651,0.0
699,254.735,42.901,0.0
732,254.883,48.423,0.0
766,254.921,55.035,0.0
799,254.952,57.77,0.0
832,254.968,60.793,0.0
866,254.971,61.382,0.0
899,254.963,59.801,0.0
932,254.976,60.156,0.0
965,254.985,62.928,0.0
999,254.987,63.801,0.0
1032,254.989,63.427,0.0
1065,254.992,63.604,0.0
1099,254.989,63.773,0.0
1132,254.978,59.843,0.0
1165,254.965,55.146,0.0
1199,254.961,52.436,0.0
1232,254.966,52.272,0.0
1265,254.962,52.373,0.0
1299,254.972,53.528,0.0
1332,254.979,55.66,0.0
1364,254.982,56.954,0.0
1399,254.981,56.368,0.0
1432,254.98,56.472,0.0
1465,254.976,55.906,0.0
1498,254.973,54.832,0.0
1532,254.981,55.239,0.0
1565,254.983,57.413,0.0
1598,254.975,57.588,0.0
1632,254.973,56.271,0.0
1665,254.977,56.945,0.0
1698,254.978,58.584,0.0
1732,254.963,56.809,0.0
1765,254.952,53.25,0.0
1798,254.949,51.406,0.0
1831,254.958,52.004,0.0
1864,254.985,55.662,0.0
1898,254.997,62.225,0.0
1931,254.999,66.624,0.0
1965,254.999,67.934,0.0
1998,254.999,69.355,0.0
2031,254.999,70.991,0.0
2065,254.999,72.037,0.0
2098,255.0,71.506,0.0
2131,255.0,71.916,0.0
2165,255.0,73.092,0.0
2198,255.0,74.871,0.0
2231,255.0,75.724,0.0
2264,255.0,75.852,0.0
2298,255.0,75.805,0.0
2331,254.999,67.963,0.0
2364,254.995,59.622,0.0
2398,254.991,55.761,0.0
2431,254.989,54.182,0.0
2464,254.989,54.119,0.0
2498,254.989,54.861,0.0
2531,254.991,55.655,0.0
2564,254.994,57.201,0.0
2597,254.994,58.44,0.0
2631,254.994,58.723,0.0
2664,254.995,58.725,0.0
2697,254.995,58.156,0.0
2731,254.997,59.455,0.0
2764,254.998,61.503,0.0
2797,254.999,62.878,0.0
2831,254.999,63.602,0.0
2864,254.998,64.099,0.0
2897,254.99,60.646,0.0
2931,254.98,54.336,0.0
2964,254.978,51.691,0.0
2997,254.976,51.782,0.0
3030,254.977,52.056,0.0
3064,254.98,53.041,0.0
3097,254.982,54.139,0.0
3130,254.985,55.333,0.0
3164,254.981,55.27,0.0
3197,254.982,54.553,0.0
3230,254.985,54.847,0.0
3264,254.986,55.66,0.0
3297,254.987,55.742,0.0
3330,254.99,56.206,0.0
3364,254.991,57.129,0.0
3397,254.993,58.757,0.0
3430,254.993,59.712,0.0
3463,254.994,60.089,0.0
3497,254.995,60.848,0.0
3530,254.993,61.218,0.0
3563,254.982,57.269,0.0
3597,254.97,52.266,0.0
3630,254.967,50.545,0.0
3663,254.967,50.487,0.0
3697,254.973,51.702,0.0
3730,254.98,53.386,0.0
3763,254.982,54.969,0.0
3797,254.984,55.403,0.0
3830,254.984,55.381,0.0
3863,254.983,55.386,0.0
3896,254.981,54.839,0.0
3930,254.981,54.613,0.0
3963,254.982,54.598,0.0
3996,254.984,54.649,0.0
4030,254.986,55.449,0.0
4063,254.987,56.11,0.0
4096,254.989,56.38,0.0
4130,254.991,57.314,0.0
4163,254.987,57.985,0.0
4196,254.965,54.772,0.0
4230,254.938,49.596,0.0
4263,254.909,46.091,0.0
4296,254.889,44.941,0.0
4329,254.868,43.33,0.0
4363,254.864,42.278,0.0
4396,254.858,42.423,0.0
4429,254.846,42.758,0.0
4463,254.841,42.995,0.0
4496,254.849,43.181,0.0
4529,254.853,43.284,0.0
4563,254.853,43.319,0.0
4596,254.856,43.579,0.0
4629,254.859,44.067,0.0
4662,254.868,44.23,0.0
4696,254.876,44.797,0.0
4728,254.892,45.402,0.0
4762,254.899,46.906,0.0
4796,254.864,45.965,0.0
4829,254.824,42.492,0.0
4862,254.809,40.132,0.0
4896,254.807,39.754,0.0
4929,254.826,40.36,0.0
4962,254.853,41.689,0.0
4996,254.863,43.183,0.0
5029,254.868,44.025,0.0
5062,254.873,44.413,0.0
5095,254.866,44.401,0.0
5129,254.868,44.236,0.0
5162,254.876,44.878,0.0
5195,254.879,45.087,0.0
5228,254.884,45.55,0.0
5262,254.897,46.587,0.0
5295,254.906,47.551,0.0
5329,254.916,48.846,0.0
5362,254.92,49.812,0.0
5395,254.912,50.016,0.0
5429,254.858,47.032,0.0
5462,254.835,43.094,0.0
5495,254.83,42.003,0.0
5527,254.84,42.523,0.0
5562,254.853,43.656,0.0
5595,254.866,44.636,0.0
5628,254.881,45.811,0.0
5662,254.887,46.866,0.0
5695,254.879,46.822,0.0
5728,254.884,46.905,0.0
5762,254.885,47.342,0.0
5795,254.887,47.039,0.0
5828,254.879,46.792,0.0
5862,254.89,47.292,0.0
5895,254.895,48.114,0.0
5928,254.901,48.675,0.0
5961,254.902,49.146,0.0
5995,254.896,49.141,0.0
6027,254.847,47.094,0.0
6061,254.782,42.325,0.0
6095,254.761,39.655,0.0
6128,254.76,39.202,0.0
6161,254.788,39.935,0.0
6195,254.819,41.821,0.0
