time,R,G,B
0,165.606,44.459,22.006
33,165.616,44.273,21.78
67,165.432,43.88,21.495
100,164.997,43.492,21.292
133,164.395,43.113,21.154
167,164.0,42.966,21.167
200,163.769,42.819,21.167
233,148.623,33.081,15.122
267,147.807,32.321,14.697
300,147.766,32.138,14.654
333,147.82,32.109,14.593
367,147.907,32.229,14.655
400,147.975,32.344,14.702
433,147.999,32.405,14.743
467,148.066,32.479,14.756
500,148.329,32.791,14.905
533,148.591,33.103,15.049
567,148.769,33.303,15.143
600,148.897,33.339,15.125
633,149.088,33.405,15.134
666,149.302,33.626,15.259
700,149.736,33.956,15.403
733,149.964,34.191,15.484
766,150.102,34.36,15.547
800,150.274,34.443,15.544
833,150.174,34.352,15.446
866,149.709,34.086,15.256
900,149.116,33.821,15.145
933,148.451,33.341,14.872
966,148.242,33.239,14.913
1000,148.247,33.313,15.039
1033,148.307,33.417,15.148
1066,148.19,33.228,15.025
1100,148.059,32.951,14.866
1133,148.019,32.768,14.761
1166,147.829,32.463,14.572
1200,147.847,32.415,14.594
1233,148.067,32.62,14.765
1266,148.355,32.875,14.925
1300,148.541,33.017,14.969
1333,148.817,33.224,15.067
1366,148.852,33.151,14.978
1399,148.927,33.095,14.909
1433,149.105,33.15,14.938
1466,149.134,33.041,14.845
1499,149.231,33.014,14.819
1533,149.297,32.984,14.781
1566,149.312,32.893,14.706
1599,149.077,32.652,14.534
1633,148.425,32.193,14.278
1666,147.675,31.649,14.011
1699,147.264,31.417,13.999
1733,147.099,31.343,14.077
1766,147.064,31.343,14.148
1799,147.065,31.295,14.152
1833,147.005,31.173,14.116
1866,147.133,31.268,14.206
1899,147.252,31.385,14.279
1933,147.224,31.376,14.253
1966,147.246,31.41,14.274
1999,147.468,31.632,14.404
2032,147.544,31.689,14.406
2066,147.607,31.697,14.387
2099,147.717,31.712,14.373
2132,147.7,31.595,14.262
2166,147.812,31.61,14.274
2199,147.92,31.645,14.277
2232,148.127,31.802,14.373
2266,148.305,31.904,14.399
2299,148.442,31.983,14.422
2332,148.637,32.104,14.466
2366,148.476,31.93,14.301
2399,147.883,31.491,14.017
2432,147.103,30.947,13.728
2466,146.518,30.583,13.629
2499,146.231,30.396,13.614
2532,146.109,30.307,13.651
2566,146.044,30.211,13.642
2599,145.998,30.108,13.618
2632,146.032,30.091,13.639
2665,146.116,30.119,13.662
2699,146.183,30.154,13.71
2732,146.239,30.204,13.727
2764,146.354,30.323,13.815
2799,146.436,30.41,13.855
2832,146.575,30.544,13.914
2865,146.555,30.395,13.791
2899,146.498,30.219,13.643
2932,146.57,30.168,13.606
2965,146.702,30.191,13.611
2999,146.783,30.151,13.593
3032,146.834,30.102,13.543
3065,146.997,30.158,13.592
3099,147.072,30.15,13.56
3132,147.089,30.097,13.492
3165,146.898,29.907,13.365
3199,146.135,29.348,13.015
3232,145.476,28.95,12.849
3264,145.274,28.934,12.963
3298,145.218,28.968,13.069
3332,145.163,28.957,13.11
3365,145.236,29.052,13.204
3398,145.221,29.035,13.184
3432,145.317,29.116,13.263
